ID,Current_Location,Sex,Birth_Date,Sire,Dam,
277,PITTSBURG,Male,"Nov 17, 2014",4,1,
133,REDWOOD,Female,"Aug 01, 1999 +/-
2 month",WILD,WILD,
134,REDWOOD,Male,"Jan 01, 2002 +/-
1 year",WILD,WILD,
246,Reef HQ/REEFHQ,Female,Undetermined,WILD,WILD,
241,RIPLEYCAN,Female,"Mar 11, 2009 +/-
2 month",WILD,WILD,
242,RIPLEYCAN,Female,"Mar 11, 2009 +/-
2 month",WILD,WILD,
223,RIPLEYSSC,Male,"May 06, 2007 +/-
6 month",WILD,WILD,
199,SEA WORLD,Female,"Jun 01, 2002 +/-
6 month",UND,UND,
201,SEA WORLD,Male,Undetermined,UND,UND,
202,SEA WORLD,Male,Undetermined,WILD,WILD,
397,SEALIFEAZ,Female,"Jul 01, 2010 +/-
2 month",WILD,WILD,
46,SEALIFECA,Male,Undetermined,WILD,WILD,
358,SEALIFECA,Female,"Mar 14, 2004 +/-
1 year",WILD,WILD,
403,SEALIFEMN,Male,"Sep 16, 2021",146,167,
247,SEALIFEMO,Male,"Mar 01, 2012",245,246,
194,SEALIFETX,Female,"Oct 25, 2002 +/-
2 year",WILD,WILD,
424,SEALIFETX,Female,"Apr 08, 2022",36,368,
432,SEALIFETX,Male,"Jun 02, 2022",36,368,
436,SEALIFETX,Male,"Dec 20, 2022",36,368,
438,SEALIFETX,Female,"Jun 29, 2022",36,368,
412,SEATTLEAQ,Male,"Mar 04, 2022",181,184,
152,SEAWLD TX,Male,"Oct 12, 2009",146,143,
221,SEAWLD TX,Female,"Feb 15, 2012","MULT
3",39,
433,SEAWLD TX,Female,"Jun 04, 2022",36,368,
292,SENTOSAAQ,Female,Undetermined,WILD,WILD,
293,SENTOSAAQ,Female,Undetermined,WILD,WILD,
294,SENTOSAAQ,Female,Undetermined,WILD,WILD,
297,SENTOSAAQ,Female,Undetermined,WILD,WILD,
300,SENTOSAAQ,Female,Undetermined,WILD,WILD,
301,SENTOSAAQ,Female,Undetermined,WILD,WILD,
302,SENTOSAAQ,Female,Undetermined,WILD,WILD,
398,SENTOSAAQ,Female,"Aug 09, 2016",UND,UND,
180,SHARKREEF,Male,"May 29, 2000",22,23,
181,SHARKREEF,Male,"May 01, 1999 +/-
6 month",WILD,WILD,
183,SHARKREEF,Female,"May 16, 2000",22,23,
184,SHARKREEF,Female,"May 01, 1999 +/-
6 month",WILD,WILD,
240,SHARKREEF,Female,"Feb 22, 2013 +/-
15 day",WILD,WILD,
414,SHARKREEF,Male,"Apr 02, 2022",181,183,
416,SHARKREEF,Male,"Apr 16, 2022",181,183,
1,SHEDD AQ,Female,"Aug 22, 1995 +/-
2 year",WILD,WILD,
3,SHEDD AQ,Male,"May 31, 2000 +/-
1 month",WILD,WILD,
5,SHEDD AQ,Female,"Apr 22, 2003 +/-
1 month",WILD,WILD,
6,SHEDD AQ,Female,"Sep 27, 2004",2,1,
396,SHREVE AQ,Female,"Jul 01, 2017 +/-
2 month",WILD,WILD,
384,SL AQUAR,Male,"Oct 10, 2017",MULT 16,MULT 15,
389,SL AQUAR,Male,"Oct 29, 2017",36,"MULT
15",
394,SLORLANDO,Female,"May 05, 2018",36,MULT 15,
421,SLORLANDO,Female,"Mar 21, 2022",36,368,
426,SLORLANDO,Female,"Apr 18, 2022",36,368,
357,TACOMA,Female,"Mar 07, 2016",4,1,
490,TACOMA,Male,"~<Oct 01, 2023",WILD,WILD,
491,TACOMA,Female,"~<Oct 01, 2023",WILD,WILD,
479,TENERIFE,Female,"Sep 21, 2009",WILD,WILD,
480,TENERIFE,Male,"Sep 23, 1997",WILD,WILD,
483,TENERIFE,Female,"Apr 01, 2014",WILD,WILD,
484,TENERIFE,Male,"Sep 14, 2006",WILD,WILD,
234,TOLEDO,Male,"Dec 06, 2012",MULT 3,39,
216,VA MSC,Female,"Aug 01, 2009 +/-
3 month",WILD,WILD,
189,WILD WRLD,Male,"Sep 01, 2008 +/-
1 month",WILD,WILD,
190,WILD WRLD,Male,"Sep 01, 2008 +/-
1 month",WILD,WILD,
262,WW ANFWM,Female,"Jul 18, 2014",4,1,
,,,,,,
