ID,Current_Location,Sex,Birth_Date,Sire,Dam,
165,ABERDE HK,Female,"Nov 01, 2004 +/-
1 month",159,MULT 2,
166,ABERDE HK,Male,"Nov 01, 2004 +/-
1 month",159,"MULT
2",
224,ABERDE HK,Male,Undetermined,WILD,WILD,
225,ABERDE HK,Female,Undetermined,WILD,WILD,
342,ABERDE HK,Female,"Jan 25, 2015",MULT 12,MULT 11,
343,ABERDE HK,Male,"Jan 26, 2015","MULT
12","MULT
11",
385,ABERDE HK,Female,"Oct 06, 2017",224,225,
388,ABERDE HK,Female,"Oct 26, 2017",224,225,
444,ABERDE HK,Male,"Jan 29, 2022",224,225,
445,ABERDE HK,Female,"Jan 30, 2022",224,225,
446,ABERDE HK,Female,"Feb 07, 2022",224,225,
447,ABERDE HK,Female,"Feb 09, 2022",224,225,
448,ABERDE HK,Female,"Feb 19, 2022",224,225,
449,ABERDE HK,Female,"Feb 22, 2022",224,225,
450,ABERDE HK,Male,"Mar 05, 2022",224,225,
451,ABERDE HK,Male,"Mar 10, 2022",224,225,
452,ABERDE HK,Female,"Mar 11, 2022",224,225,
453,ABERDE HK,Male,"Mar 19, 2022",224,225,
454,ABERDE HK,Male,"Mar 24, 2022",224,225,
455,ABERDE HK,Male,"Mar 29, 2022",224,225,
456,ABERDE HK,Male,"Apr 14, 2022",224,225,
457,ABERDE HK,Male,"Nov 10, 2022",224,225,
458,ABERDE HK,Male,"Nov 12, 2022",224,225,
459,ABERDE HK,Female,"Nov 19, 2022",224,225,
464,ABERDE HK,Female,"Nov 26, 2022",224,225,
465,ABERDE HK,Male,"Dec 14, 2022",224,225,
466,ABERDE HK,Female,"Dec 16, 2022",224,225,
467,ABERDE HK,Female,"Dec 17, 2022",224,225,
10,ABQBIOPK,Female,"Jan 01, 2005",MULT 1,1,
88,ABQBIOPK,Female,"Mar 13, 2005","MULT
1",1,
469,ATLPALMAQ,Female,"Oct 20, 2008 +/-
1 year",WILD,WILD,
470,ATLPALMAQ,Female,"Nov 03, 2009 +/-
1 year",WILD,WILD,
471,ATLPALMAQ,Male,"Oct 01, 2007 +/-
1 year",WILD,WILD,
472,ATLPALMAQ,Female,"May 10, 2010 +/-
1 year",WILD,WILD,
473,ATLPALMAQ,Female,"Jun 11, 2012",WILD,WILD,
474,ATLPALMAQ,Female,"Nov 05, 2009 +/-
1 year",WILD,WILD,
475,ATLPALMAQ,Female,"Nov 05, 2009",WILD,WILD,
476,ATLPALMAQ,Female,"Sep 01, 2013 +/-
1 year",WILD,WILD,
53,BALTIM AQ,Female,"Oct 01, 1997 +/-
6 month",WILD,WILD,
352,BALTIM AQ,Female,"Jan 21, 2016",4,1,
440,BRANSONAQ,Female,"Jul 01, 2022",36,368,
485,BREST AQ,Female,"Jan 01, 2013",WILD,WILD,
243,BROOKLYN,Male,"Dec 15, 2013",3,1,
8,COLUMBUS,Female,"Oct 07, 2004","MULT
1",1,
259,COLUMBUS,Female,"Feb 05, 2012",245,246,
350,CONCORDSL,Female,"Mar 09, 2014 +/-
15 day",WILD,WILD,
196,DALLAS AQ,Male,"Oct 25, 2002 +/-
2 year",WILD,WILD,
149,DISCCOVFL,Male,"May 10, 2007",MULT 3,147,
415,DRAPER,Female,"Apr 12, 2022",181,183,
270,FT WAYNE,Female,"Sep 11, 2014",4,5,
39,GA AQUAR,Female,Undetermined,WILD,WILD,
122,GA AQUAR,Male,Undetermined,WILD,WILD,
265,GA AQUAR,Female,Undetermined,WILD,WILD,
266,GA AQUAR,Female,Undetermined,WILD,WILD,
365,GA AQUAR,Female,"Mar 31, 2017",WILD,WILD,
366,GA AQUAR,Female,"Apr 03, 2017",WILD,WILD,
367,GA AQUAR,Female,"Apr 14, 2017",WILD,WILD,
392,GA AQUAR,Female,"Apr 08, 2018",36,MULT 15,
411,GA AQUAR,Female,"Mar 04, 2022",181,184,
413,GA AQUAR,Female,"Mar 19, 2022",181,184,
410,GENOVA AQ,Female,"Sep 22, 2014",MULT 13,1,
213,GOLDENNUG,Female,"Feb 01, 2008 +/-
15 day",WILD,WILD,
405,JENKINSON,Female,"Nov 22, 2020",UND,UND,
371,KANSASCTY,Male,"May 13, 2017",146,167,
263,KEMAH AQ,Male,"Jul 22, 2014",4,1,
399,LANDRYSAQ,Female,"Feb 01, 2015 +/-
4 year",WILD,WILD,
42,LONG B AQ,Female,Undetermined,WILD,WILD,
45,LONG B AQ,Female,Undetermined,WILD,WILD,
261,LONG B AQ,Female,"Mar 26, 2014",46,42,
408,LONG B AQ,Male,"Jan 24, 2022",181,184,
409,LONG B AQ,Male,"Jan 25, 2022",181,184,
146,MINNESOTA,Male,Undetermined,WILD,WILD,
167,MINNESOTA,Female,"May 26, 1992 +/-
6 month",WILD,WILD,
369,MINNESOTA,Female,"Apr 29, 2017",146,167,
272,MISS AQ,Female,"Oct 16, 2014",4,5,
404,MOTEMARIN,Male,"Sep 20, 2021",146,167,
482,MYSTIC,Female,"Sep 28, 2022",WILD,WILD,
121,New Jersey SEA LIFE Aquarium,Male,"Nov 04, 2009",2,5,
417,OCEAN VAL,Female,"Sep 28, 2020","MULT
19","MULT
18",
477,OCEAN VAL,Male,"~<May 21, 2019",WILD,WILD,
478,OCEAN VAL,Male,"May 16, 2011",WILD,WILD,
481,OCEAN VAL,Female,"Aug 31, 2020",MULT 19,MULT 18,
487,OCEAN VAL,Female,"Oct 22, 2022",486,485,
488,OCEAN VAL,Female,"Oct 07, 2022",486,485,
489,OCEAN VAL,Female,"Sep 26, 2022",486,485,
186,OCEANJRNY,Female,"Jan 01, 2000 +/-
6 month",WILD,WILD,
220,OCEANJRNY,Male,"Dec 14, 2011",181,184,
229,OCEANJRNY,Female,"Oct 11, 2012",MULT 3,39,
228,ODYSEA AQ,Male,"Oct 15, 2012","MULT
3",39,
349,ODYSEA AQ,Female,"Sep 11, 2015",181,184,
376,ODYSEA AQ,Female,"Mar 20, 2017 +/-
15 day",WILD,WILD,
14,OMAHA,Female,"Dec 19, 2007",2,1,
21,OMAHA,Male,Undetermined,WILD,WILD,
25,OMAHA,Female,"Feb 09, 2001",22,23,
172,OMAHA,Male,"May 14, 2007",MULT 3,147,
173,OMAHA,Female,"May 04, 2007","MULT
3",147,
125,ORLANDO,Male,Undetermined,WILD,WILD,
368,ORLANDO,Female,"Apr 01, 2012 +/-
1 year",WILD,WILD,
418,ORLANDO,Female,"Mar 09, 2022",36,368,
419,ORLANDO,Male,"Mar 14, 2022",36,368,
420,ORLANDO,Female,"Mar 19, 2022",36,368,
422,ORLANDO,Female,"Mar 24, 2022",36,368,
425,ORLANDO,Male,"Apr 15, 2022",36,368,
427,ORLANDO,Female,"May 03, 2022",36,368,
428,ORLANDO,Male,"May 04, 2022",36,368,
429,ORLANDO,Male,"May 14, 2022",36,368,
430,ORLANDO,Female,"May 30, 2022",36,368,
431,ORLANDO,Male,"Jun 02, 2022",36,368,
434,ORLANDO,Male,"Jun 13, 2022",36,368,
435,ORLANDO,Male,"Jun 19, 2022",36,368,
144,PARADISL,Female,Undetermined,WILD,WILD,
145,PARADISL,Female,Undetermined,WILD,WILD,
55,PITTSBURG,Female,"Oct 10, 2001 +/-
15 day",203,"MULT
5",
56,PITTSBURG,Female,"Oct 10, 2001 +/-
15 day",203,MULT 5,
