ID,Current_Location,House_Name,Sex,Birth_Date,Sire,Dam,
663,BREVARD,Ruaha,Male,"May 14, 2019",369,281,
366,BROWNSVIL,Jamil,Male,"Aug 15, 2008",98,110,
678,BUFFALO,Khari,Male,"Mar 07, 2021",479,413,
677,BUFFALO,Zahra,Female,"Mar 07, 2021",479,413,
479,BUFFALO,Wyatt,Male,"Mar 07, 2013",448,450,
413,BUFFALO,Lusaka,Female,"Sep 22, 2010",248,246,
408,BUFFALO,Lelie,Female,"Aug 31, 2010",248,247,
487,BUSCH TAM,SHABA,Female,"Mar 20, 2013",484,485,
488,BUSCH TAM,SHTUKO,Female,"Mar 20, 2013",484,485,
486,BUSCH TAM,KEMBE,Male,"Feb 20, 2013",482,483,
T5006,BUSCH TAM,IRIS,Female,"Aug 15, 2006",UND,UND,
T5007,BUSCH TAM,ROSE,Female,"Aug 15, 2006",UND,UND,
T5005,BUSCH TAM,SIMON,Male,"Mar 15, 2006",UND,UND,
537,CALDWELL,Zuri,Female,"Jan 22, 2014",429,427,
536,CALDWELL,Amira,Female,"Jan 22, 2014",429,427,
535,CALDWELL,Malika,Female,"Jan 22, 2014",429,427,
429,CALDWELL,Ayotunde,Male,"Jul 28, 2011",355,318,
427,CALDWELL,Njeri,Female,"Jul 25, 2011",225,197,
544,CALGARY,SABI,Female,"Jun 26, 2014",379,405,
542,CALGARY,MALI,Female,"Jun 25, 2014",379,405,
412,CALGARY,ASLAN,Male,"Sep 22, 2010",248,246,
411,CALGARY,BARUTI,Male,"Sep 22, 2010",248,246,
T5108,CALI,MUFASA,Male,"Mar 01, 2013",T5106,T5107,
T5094,CALI,Sade,Female,"Jan 18, 2013",T5182,T5089,
T5089,CALI,Limón,Female,"Jan 01, 2006",UND,UND,
T5073,CAPE MAY,Bella,Female,"Jul 05, 2011",UND,UND,
T5072,CAPE MAY,Lexington,Male,"Jul 05, 2011",UND,UND,
638,CHICAGOBR,Titus,Male,"Feb 24, 2016",422,464,
631,CHICAGOBR,Brutus,Male,"Feb 24, 2016",422,464,
764,CHICAGOLP,,Undetermined,"Mar 15, 2022",644,651,
659,CHICAGOLP,Cleopatra,Female,"Oct 01, 2018",215,574,
660,CHICAGOLP,Hasira,Female,"Oct 01, 2018",215,574,
651,CHICAGOLP,Zari,Female,"Apr 10, 2018",215,575,
644,CHICAGOLP,,Male,"Nov 14, 2017",415,410,
432,CINCINNAT,Imani,Female,"Jul 17, 2011",316,346,
409,CINCINNAT,John,Male,"Aug 31, 2010",248,247,
534,CLEVELAND,Doc,Male,"Jan 22, 2014",429,427,
T5058,CLEVELAND,SERENA,Female,"May 01, 2005 +/- 15 day",UND,UND,
T5057,CLEVELAND,NALA,Female,"Jan 01, 2004 +/- 15 day",UND,UND,
612,COLO SPRG,Boma,Male,"Jun 25, 2015",430,303,
614,COLO SPRG,Elsa,Female,"Jun 25, 2015",430,303,
613,COLO SPRG,Aslan,Male,"Jun 25, 2015",430,303,
430,COLO SPRG,Abuto,Male,"Jul 28, 2011",355,318,
303,COLO SPRG,LOMELA,Female,"Jul 11, 2007",173,109,
574,COLUMBIA,LINDELANI,Female,"Mar 30, 2015",439,440,
575,COLUMBIA,THABISA,Female,"Mar 30, 2015",439,440,
215,COLUMBIA,ZURI,Male,"Aug 15, 2004",98,110,
670,DALLAS,Izwi,Male,"Aug 17, 2020",625,630,
672,DALLAS,Tadala,Female,"Aug 17, 2020",625,630,
671,DALLAS,Ilola,Female,"Aug 17, 2020",625,630,
630,DALLAS,Bahati Moja,Female,"Mar 17, 2017",236,333,
625,DALLAS,KIJANI,Male,"Oct 11, 2016",527,218,
332,DALLAS,Jasiri,Female,"Jun 07, 2008",215,170,
333,DALLAS,LINA,Female,"Jun 07, 2008",215,170,
675,DENVER,Araali,Female,"Apr 23, 2020",606,605,
676,DENVER,Oskar,Male,"Apr 23, 2020",606,605,
763,DENVER,Tatu,Male,"Jul 25, 2019",606,472,
606,DENVER,Toby,Male,"Mar 05, 2016",479,408,
605,DENVER,KAMARA,Female,"Sep 10, 2015",461,472,
579,DENVER,Usiku,Male,"May 17, 2015",243,287,
576,DENVER,Bahati,Male,"May 17, 2015",243,287,
578,DENVER,Kito,Male,"May 17, 2015",243,287,
577,DENVER,Jasiri,Male,"May 17, 2015",243,287,
472,DENVER,NELIAH,Female,"Jun 30, 2012",93,314,
477,DENVER,sabi,Female,"Jun 24, 2012",473,474,
415,DES MOINE,Leopold or Deuce,Male,"Dec 18, 2010",221,224,
407,DES MOINE,Kadi,Female,"Aug 31, 2010",248,247,
410,DES MOINE,Neema,Female,"Aug 31, 2010",248,247,
389,DES MOINE,Zarina,Female,"May 02, 2009",196,214,
681,DETROIT,BINTI,Female,"Sep 10, 2020",473,618,
619,DETROIT,Amirah,Female,"May 12, 2016",479,413,
618,DETROIT,Asha,Female,"May 12, 2016",479,413,
473,DETROIT,SIMBA,Male,"Jan 24, 2009 +/- 6 month",WILD,WILD,
300,DICKERSON,SHETANI,Female,"Nov 03, 2006",190,222,
273,DICKERSON,BABY #2,Male,"Jun 13, 2006",265,139,
400,DISNEY AK,Kamari,Female,"May 29, 2010",203,237,
402,DISNEY AK,Kinsey,Female,"May 29, 2010",203,237,
388,DISNEY AK,Dakari,Male,"May 02, 2009",196,214,
T5061,DULUTH,Lily,Female,"Sep 21, 2007",UND,UND,
T5060,DULUTH,Malkia,Female,"Sep 21, 2007",UND,UND,
639,EL PASO,Hodari,Male,"Oct 25, 2017",190,292,
308,EL PASO,Malaika,Female,"Nov 04, 2007",103,187,
309,EL PASO,ZARI,Female,"Nov 04, 2007",103,187,
381,FRANKLINP,DINARI,Male,"Mar 07, 2009",243,287,
382,FRANKLINP,KAMAIA,Male,"Mar 07, 2009",243,287,
527,FRESNO,Chisulo,Male,"Mar 02, 2014",248,247,
509,FRESNO,Zamaya,Female,"Nov 19, 2013",236,218,
552,FT WAYNE,BAHATI,Male,"Jul 07, 2014",325,428,
230,FT WAYNE,INA,Female,"Oct 23, 2006",148,140,
580,GARDENCTY,Lulu,Female,"May 17, 2015",243,287,
539,GARDENCTY,Bantu,Male,"Mar 06, 2014",MULT1,395,
540,GARDENCTY,Asani,Male,"Mar 06, 2014",MULT1,395,
243,GARDENCTY,RAZI,Male,"Aug 02, 2006",234,235,
287,GARDENCTY,AMALI,Female,"Aug 24, 2005",147,65,
229,GLEN OAK,Lizzy,Female,"Oct 23, 2006",148,140,
280,GLEN OAK,Arthur,Male,"Sep 09, 2005",108,95,
T5087,GRANBY,CECILIA,Female,"May 11, 2015",T4876,T5195,
T5086,GRANBY,CONGO,Male,"Jun 06, 2014",T4876,T5195,
T4747,GRANBY,KAO,Female,"Apr 23, 2002",T4502,T4581,
603,GREENBAY,Loiwotwa,Male,"Aug 20, 2015",252,245,
211,GREENBAY,AJIA,Female,"Oct 14, 2004",221,224,
334,GREENVISC,Saied,Male,"Jun 13, 2008",215,172,
331,GREENVISC,Chuma,Male,"Jun 07, 2008",215,170,
637,HOGLE,CALLIOPE,Female,"Feb 24, 2016",422,464,
465,HOGLE,Sela,Female,"Nov 08, 2012",146,391,
464,HOGLE,Nobuhle,Female,"Nov 08, 2012",146,391,
422,HOGLE,Baron,Male,"May 25, 2011",275,251,
420,HOGLE,Vulcan,Male,"May 25, 2011",275,251,
373,HONOLULU,MOXY,Female,"Nov 06, 2008",204,238,
564,HOUSTON,HASANI,Male,"Sep 08, 2014",312,329,
354,HOUSTON,MATUNGULU,Female,"Jul 24, 2008",108,95,
352,HOUSTON,UZIMA,Female,"Jul 24, 2008",108,95,
595,INDIANAPL,SUKARI,Female,"Sep 21, 2015",319,244,
593,INDIANAPL,ENZI,Male,"Sep 21, 2015",319,244,
244,INDIANAPL,ZURI,Female,"Aug 02, 2006",234,235,
558,JACKSONVL,Khari,Male,"Sep 10, 2014",345,314,
559,JACKSONVL,Safara,Female,"Sep 10, 2014",345,314,
314,JACKSONVL,Tamu,Female,"Nov 02, 2007",253,256,
345,JACKSONVL,Catali,Male,"Dec 22, 2005",343,344,
369,JNGLARY F,Masamba,Male,"Jul 19, 2008",286,220,
281,JNGLARY F,SHANI,Female,"Sep 09, 2005",108,95,
425,JOHN BALL,KIUME,Male,"Jul 24, 2011",225,197,
261,JOHN BALL,ABENA,Female,"May 17, 2006",253,256,
294,KANSASCTY,JABARI,Male,"Jun 28, 2005",90,132,
295,KANSASCTY,SHAKARRI,Male,"Jun 28, 2005",90,132,
297,KANSASCTY,ZURI,Female,"Jun 28, 2005",90,132,
175,KANSASCTY,MUFASA,Male,"Sep 03, 2001",90,132,
177,KANSASCTY,NALA,Female,"Sep 03, 2001",90,132,
750,KNOXVILLE,Anga,Female,"Dec 21, 2021",581,653,
751,KNOXVILLE,Maji,Male,"Dec 21, 2021",581,653,
653,KNOXVILLE,Amara,Female,"Apr 10, 2018",215,575,
581,KNOXVILLE,Upepo,Male,"Jun 08, 2015",MULT2,435,
231,LANSING,KITO,Male,"Oct 23, 2006",148,140,
223,LANSING,Ulana,Female,"Mar 26, 2004",173,109,
491,LEON,Josiri,Male,"Dec 29, 2012",122,378,
468,LEON,Alohi,Female,"Dec 15, 2012",313,373,
466,LEON,Etosha,Female,"Dec 15, 2012",313,373,
T5071,LEON,,Male,"Jan 01, 2010 +/- 6 month",UND,UND,
T5069,LEON,,Female,"Jan 01, 2009 +/- 6 month",UND,UND,
T5067,LEON,Clarita,Female,"Jan 01, 2004 +/- 6 month",UND,UND,
T5070,LEON,,Male,"Jan 01, 2001 +/- 6 month",UND,UND,
628,LITTLEROC,Amboseli,Male,"Feb 27, 2017",463,417,
560,LITTLEROC,Inara,Female,"Oct 24, 2014",262,282,
561,LITTLEROC,Saphira,Female,"Oct 24, 2014",262,282,
573,LOUISVILL,Siyanda,Male,"Mar 30, 2015",439,440,
480,LOUISVILL,SAVANNAH/SUNNY,Female,"Mar 07, 2013",448,450,
490,LOUISVILL,AMALI,Female,"Mar 06, 2013",204,238,
634,LUFKIN,Ashur,Male,"Jul 15, 2016",274,349,
349,LUFKIN,ADIA,Female,"Jun 06, 2007",227,277,
463,MADISON,Pelo,Male,"Nov 08, 2012",146,391,
417,MADISON,Shakura,Female,"Sep 28, 2010",98,110,
380,MEMPHIS,Thabo,Male,"Mar 24, 2009",152,205,
376,MEMPHIS,Akeelah,Female,"Nov 12, 2008",286,211,
377,MEMPHIS,Jamela,Female,"Nov 12, 2008",286,211,
541,METROZOO,Amirah,Female,"Mar 06, 2014",MULT1,395,
327,METROZOO,Jabari,Male,"Sep 06, 2007",325,213,
326,METROZOO,Kwame,Male,"Sep 06, 2007",325,213,
648,MILWAUKEE,Eloise,Female,"Oct 21, 2017",367,588,
647,MILWAUKEE,Amira,Female,"Oct 21, 2017",367,588,
588,MILWAUKEE,Patty,Female,"Jan 28, 2015",475,436,
249,MINOT,KIOTA,Male,"Aug 25, 2005",173,109,
643,NORFOLK,Asha,Female,"Nov 14, 2017",415,410,
642,NORFOLK,Kali,Female,"Nov 14, 2017",415,410,
627,NORFOLK,Ansel,Male,"Feb 27, 2017",463,417,
501,NY BRONX,Bahati,Male,"Aug 16, 2013",204,238,
503,NY BRONX,Ime,Male,"Aug 16, 2013",204,238,
502,NY BRONX,Thulani,Male,"Aug 16, 2013",204,238,
526,NZP-WASH,Shaka,Male,"Mar 02, 2014",248,247,
528,NZP-WASH,Amahle,Female,"Mar 02, 2014",248,247,
525,NZP-WASH,Jumbe,Male,"Mar 02, 2014",248,247,
248,NZP-WASH,LUKE,Male,"Oct 05, 2005",397,398,
247,NZP-WASH,SHERA,Female,"Nov 07, 2004",362,363,
246,NZP-WASH,NABABIEP,Female,"Jan 20, 2004",362,363,
572,OAKLAND,Gandia,Male,"Oct 24, 2014",310,391,
571,OAKLAND,Tandie,Male,"Oct 24, 2014",310,391,
570,OAKLAND,Mandla,Male,"Oct 24, 2014",310,391,
582,OKLAHOMA,Moto,Female,"Jun 08, 2015",MULT2,435,
584,OKLAHOMA,Dunia,Female,"Jun 08, 2015",MULT2,435,
426,OKLAHOMA,Huey,Male,"Jul 25, 2011",225,197,
569,OMAHA,Kimani,Female,"Nov 21, 2014",122,378,
567,OMAHA,Kayode,Male,"Nov 21, 2014",122,378,
568,OMAHA,Shango,Male,"Nov 21, 2014",122,378,
378,OMAHA,Ahadi,Female,"Jan 04, 2008",226,206,
347,OMAHA,MFISHA,Female,"Jul 06, 2007",226,206,
405,PHILADELP,Tajiri,Female,"Mar 16, 2010",325,213,
379,PHILADELP,MAKINI,Male,"Mar 24, 2009",152,205,
597,PHOENIX,Boboo,Male,"Aug 16, 2015",252,239,
565,PORTLAND,MASHAVU,Female,"Sep 08, 2014",312,329,
566,PORTLAND,NIARA,Female,"Sep 08, 2014",312,329,
312,PORTLAND,Zawadi Mungu,Male,"Nov 02, 2007",253,256,
329,PORTLAND,KYA,Female,"Sep 06, 2007",325,213,
341,PORTLAND,NEKA - dominant female,Female,"Aug 19, 2007",196,214,
684,PUEBLA,,Male,"Feb 23, 2021",328,680,
683,PUEBLA,,Male,"Feb 23, 2021",328,680,
742,PUEBLA,,Male,"Dec 03, 2020",328,685,
687,PUEBLA,,Female,"Dec 03, 2020",328,685,
686,PUEBLA,,Female,"Dec 03, 2020",328,685,
688,PUEBLA,,Female,"Jan 29, 2020",328,680,
744,PUEBLA,,Male,"Dec 15, 2019",328,MULT4,
691,PUEBLA,,Female,"Jun 08, 2019",328,MULT4,
695,PUEBLA,,Female,"Dec 13, 2017",337,423,
693,PUEBLA,,Female,"Dec 13, 2017",337,423,
743,PUEBLA,,Male,"Dec 13, 2017",337,423,
692,PUEBLA,,Female,"Dec 13, 2017",337,423,
685,PUEBLA,,Female,"Nov 15, 2016",328,424,
694,PUEBLA,,Female,"Nov 15, 2016",328,424,
680,PUEBLA,,Female,"Nov 15, 2016",328,424,
697,PUEBLA,,Female,"Sep 25, 2016",337,423,
696,PUEBLA,,Female,"Sep 25, 2016",337,423,
699,PUEBLA,,Female,"Sep 25, 2016",337,423,
698,PUEBLA,,Female,"Sep 25, 2016",337,423,
700,PUEBLA,,Male,"Jun 12, 2016",328,421,
702,PUEBLA,,Female,"Jun 12, 2016",328,421,
701,PUEBLA,,Female,"Jun 12, 2016",328,421,
703,PUEBLA,,Male,"~< Apr 24, 2016",337,423,
704,PUEBLA,,Male,"Feb 12, 2016",328,424,
705,PUEBLA,,Female,"Nov 20, 2015",337,423,
706,PUEBLA,,Male,"Nov 20, 2015",337,423,
T5120,PUEBLA,,Female,"Jun 15, 2015",328,T5119,
T5121,PUEBLA,,Female,"Jun 15, 2015",328,T5119,
T5122,PUEBLA,,Female,"Dec 25, 2014",UND,UND,
T5123,PUEBLA,,Female,"Dec 25, 2014",UND,UND,
T5124,PUEBLA,,Male,"Jun 09, 2014",UND,UND,
T5127,PUEBLA,,Male,"May 06, 2014",UND,UND,
T5128,PUEBLA,,Female,"May 06, 2014",UND,UND,
T5126,PUEBLA,,Female,"Dec 26, 2013",UND,UND,
T5111,PUEBLA,,Female,"Jul 18, 2013",UND,UND,
T5110,PUEBLA,,Female,"Jul 18, 2013",UND,UND,
T5109,PUEBLA,,Female,"Jul 18, 2013",UND,UND,
T5113,PUEBLA,,Male,"Feb 02, 2013",UND,UND,
T5112,PUEBLA,,Male,"Feb 02, 2013",UND,UND,
T5116,PUEBLA,,Male,"Dec 22, 2012",UND,UND,
T5117,PUEBLA,,Female,"Dec 22, 2012",UND,UND,
421,PUEBLA,Lily,Female,"May 25, 2011",275,251,
337,PUEBLA,Mikalos,Male,"May 31, 2008",236,218,
336,PUEBLA,Christos,Male,"May 31, 2008",236,218,
T5041,PUEBLA,,Male,"Sep 07, 2006",UND,UND,
641,PUEBLO,Zuri,Female,"Oct 25, 2017",190,292,
640,PUEBLO,Kamara,Female,"Oct 25, 2017",190,292,
292,PUEBLO,Mashavu,Female,"Jul 29, 2006",98,110,
190,PUEBLO,Taz,Male,"Jun 14, 2002",84,124,
551,RACINE,Zuri Saba,Female,"Jul 07, 2014",325,428,
428,RACINE,AZIZI,Female,"Jul 28, 2011",355,318,
449,ROCHESTER,Zuri,Female,"Sep 09, 2010",456,455,
450,ROCHESTER,Asha,Female,"Sep 09, 2010 +/- 1 day",454,453,
448,ROCHESTER,Chester,Male,"Sep 09, 2010",452,451,
519,ROLLING H,Zalika,Female,"Sep 07, 2013",312,341,
518,ROLLING H,Kamali,Female,"Sep 07, 2013",312,341,
673,S BARBARA,Pauline,Female,"Nov 05, 2020",594,652,
652,S BARBARA,Felicia,Female,"Apr 10, 2018",215,575,
594,S BARBARA,Ralph,Male,"Sep 21, 2015",319,244,
262,SACRAMNTO,Kamau,Male,"Jul 19, 2006",253,255,
282,SACRAMNTO,CLEO,Female,"Sep 09, 2005",108,95,
589,SAN ANTON,AXELLE,Female,"Jul 25, 2015",342,317,
317,SAN ANTON,Sarabi,Female,"Nov 06, 2007",253,255,
342,SAN ANTON,Tau,Male,"Aug 19, 2007",196,214,
592,SAN FRAN,Jasiri,Male,"Aug 30, 2015",198,206,
206,SAN FRAN,Sukari,Female,"Jun 23, 2002",173,109,
549,SANDIEGOZ,Miss Ellen,Female,"Jun 22, 2014",253,256,
546,SANDIEGOZ,Ernest,Male,"Jun 22, 2014",253,256,
253,SD-WAP,IZU,Male,"Oct 15, 2003",UND,UND,
657,SEATTLE,ILANGA,Female,"Jul 18, 2017",226,200,
656,SEATTLE,KAMARIA,Female,"Jul 18, 2017",226,200,
383,SEDGWICK,Kianga,Female,"Mar 07, 2009",243,287,
367,SEDGWICK,Michael,Male,"Aug 15, 2008",98,110,
T5178,SEOUL,Leon(레옹),Male,"Aug 10, 2015",UND,T5138,
T5137,SEOUL,Sol-i(솔이),Male,"Sep 07, 2011",UND,T5132,
T5136,SEOUL,Chungja(청자),Female,"~< Sep 05, 2011",UND,UND,
T5134,SEOUL,Pado,Male,"Aug 21, 2011",T5133,T5129,
T5135,SEOUL,LEO,Male,"Aug 21, 2011",T5133,T5129,
T5140,SEOUL,Jane(제인),Female,"Dec 24, 2010",T5139,T5132,
T5132,SEOUL,Titi(티티),Female,"Sep 29, 2005",T5130,T5131,
T5129,SEOUL,Jespa(제스파),Female,"May 01, 2005",UND,UND,
316,ST LOUIS,INGOZI,Male,"Nov 06, 2007",253,255,
346,ST LOUIS,CABARA,Female,"Dec 22, 2005",343,344,
596,ST PAUL,Mumford,Male,"Jan 14, 2016",190,292,
583,ST PAUL,Maji,Female,"Jun 08, 2015",MULT2,435,
629,TAUTPHAUS,Hondo,Male,"Feb 17, 2017",226,200,
200,TAUTPHAUS,Kimani,Female,"Feb 07, 2003",106,83,
276,TOPEKA,LULU,Female,"Apr 06, 2004",108,95,
277,TOPEKA,Asante,Female,"Apr 06, 2004",108,95,
T5080,TORONTO,MAKALI,Female,"Aug 25, 2011",UND,UND,
T5079,TORONTO,LEMON,Female,"May 15, 2011",UND,UND,
T5081,TORONTO,FINTAN,Male,"Nov 01, 2010 +/- 15 day",UND,UND,
591,TUCSON,Tony,Male,"Jul 26, 2015",342,317,
530,TUCSON,NAYO,Female,"Dec 23, 2013",355,318,
318,TUCSON,Kaya,Female,"Nov 06, 2007",253,255,
604,TULSA,Kalu,Male,"Sep 10, 2015",461,472,
205,TULSA,Shatari,Female,"Jun 23, 2002",173,109,
T5103,UTICA,Murphy,Male,"Jun 06, 2012",T5097,T5098,
T5105,UTICA,Coky,Female,"Jun 06, 2012",T5097,T5098,
T5099,UTICA,DONOVAN,Male,"May 11, 2011",T5097,T5098,
562,W ORANGE,Demarcus,Male,"Oct 24, 2014",262,282,
238,W ORANGE,Sukari,Female,"Sep 02, 2004",234,233,
690,W PALM BE,Mara,Female,"Nov 08, 2019",521,492,
689,W PALM BE,Atlas,Male,"Nov 08, 2019",521,492,
553,W PALM BE,Boone,Male,"Jul 30, 2014",148,392,
554,W PALM BE,Vander,Male,"Jul 30, 2014",148,392,
538,W PALM BE,M'saba,Male,"Mar 06, 2014",MULT1,395,
521,W PALM BE,K'wasi,Male,"Dec 15, 2013",MULT1,394,
471,W PALM BE,Kya,Female,"Dec 29, 2012",122,378,
492,W PALM BE,Leela,Female,"Dec 29, 2012",122,378,
470,W PALM BE,Zuri,Female,"Dec 29, 2012",122,378,
649,WACO,Rey,Female,"Oct 05, 2017",467,505,
505,WACO,Leia,Female,"Oct 04, 2013",301,404,
467,WACO,Kaikane,Male,"Dec 15, 2012",313,373,
476,WINSTON,Enzi,Male,"Jun 24, 2012",473,474,
475,WINSTON,Tsavo,Male,"Jun 24, 2012",473,474,
435,WINSTON,Serafina,Female,"Feb 14, 2012",316,346,
436,WINSTON,Mtai,Female,"Feb 14, 2012",316,346,
T5177,YONG IN,아자,Male,"Aug 28, 2018",T5156,T5175,
T5176,YONG IN,무사,Male,"Aug 28, 2018",T5156,T5175,
T5174,YONG IN,금동,Male,"Jun 28, 2018",UND,UND,
T5172,YONG IN,HANBYUL,Female,"Apr 07, 2016",UND,UND,
T5171,YONG IN,한울,Male,"Apr 16, 2015",UND,UND,
T5169,YONG IN,랑크,Male,"Nov 01, 2014 to Nov 30,
2014",UND,UND,
T5170,YONG IN,TAI,Male,"Nov 01, 2014 to Nov 30,
2014",UND,UND,
T5168,YONG IN,가온,Male,"Dec 29, 2013",UND,UND,
T5167,YONG IN,설이,Female,"Dec 27, 2013",UND,UND,
T5166,YONG IN,SUGAR,Female,"Dec 21, 2013",UND,UND,
T5165,YONG IN,사월,Male,"Oct 24, 2013",UND,UND,
T5164,YONG IN,다옴,Male,"Sep 21, 2013",UND,UND,
T5163,YONG IN,마루,Female,"Sep 12, 2013",UND,UND,
T5162,YONG IN,도바,Male,"Aug 23, 2013",UND,UND,
T5160,YONG IN,덕선,Female,"May 23, 2013",UND,UND,
T5159,YONG IN,다온,Female,"Jan 21, 2013",UND,UND,
T5158,YONG IN,화란,Female,"Oct 07, 2012",UND,UND,
T5157,YONG IN,DODAM,Female,"Jul 15, 2012",UND,UND,
T5156,YONG IN,DAEDO,Male,"Jul 05, 2012",UND,UND,
T5154,YONG IN,CHUNMEUNG,Male,"May 07, 2012",UND,UND,
T5155,YONG IN,마초,Male,"May 07, 2012",UND,UND,
T5153,YONG IN,도토,Male,"Dec 01, 2011 to Dec 31,
2011",UND,UND,
T5152,YONG IN,사비,Female,"Aug 25, 2011",UND,UND,
T5151,YONG IN,강수,Male,"Apr 29, 2011",UND,UND,
T5150,YONG IN,NURI,Male,"Apr 29, 2011",UND,UND,
T5149,YONG IN,비상,Female,"Mar 30, 2011",UND,UND,
T5148,YONG IN,투니,Female,"Mar 01, 2011 to Mar 31,
2011",UND,UND,
T5147,YONG IN,아톰,Male,"Feb 14, 2010",UND,UND,
T5146,YONG IN,샤샤,Female,"Jan 23, 2010",UND,UND,
T5145,YONG IN,앙큼,Female,"Nov 15, 2008",UND,UND,
T5144,YONG IN,비담,Female,"May 23, 2008",UND,UND,
T5143,YONG IN,타비,Female,"Apr 23, 2008",UND,UND,
T5142,YONG IN,천하,Male,"Nov 08, 2007",UND,UND,
T5141,YONG IN,애니카,Male,"Jul 17, 2005",UND,UND,
