ID,Current_Location,House_Name,Sex,Birth_Date,Sire,Dam,
439,ABILENE,Jabulani,Male,"Aug 04, 2011 +/- 15 day",442,443,
441,ABILENE,Abagebe,Female,"Feb 03, 2011 +/- 15 day",446,447,
440,ABILENE,Saba,Female,"Jan 17, 2011 +/- 15 day",444,445,
513,ABQBIOPK,Dixie,Female,"Dec 06, 2013",253,256,
512,ABQBIOPK,Kenya,Male,"Dec 06, 2013",253,256,
602,AKRON,Donovan,Male,"Aug 20, 2015",252,245,
545,AKRON,Msinga,Female,"Jun 26, 2014",379,405,
543,AKRON,Kataba,Female,"Jun 25, 2014",379,405,
370,AKRON,Mandisa,Female,"Jul 19, 2008",286,220,
250,AKRON,TAMARR,Male,"Aug 25, 2005",173,109,
520,ALEXANDRI,ANGALIA,Female,"Sep 07, 2013",312,341,
469,ALEXANDRI,TAJ,Male,"Dec 29, 2012",122,378,
392,ASHEBORO,MEKITA,Female,"Sep 22, 2009",252,239,
148,ASHEBORO,REILLY,Male,"Feb 07, 1999",84,145,
508,ATLANTA,Hondo,Male,"Nov 19, 2013",236,218,
511,ATLANTA,AZIZI,Male,"Nov 19, 2013",236,218,
510,ATLANTA,Hatari,Male,"Nov 19, 2013",236,218,
T5000,ATTLEBORO,Ramses,Male,"Jul 01, 2006",UND,UND,
T4862,ATTLEBORO,Nyalla,Female,"Nov 01, 2004",142,143,
666,AUDUBON,Asani,Male,"Jan 11, 2020",585,616,
665,AUDUBON,Haji,Male,"Jan 11, 2020",585,616,
615,AUDUBON,Nia,Female,"Dec 04, 2015",280,229,
617,AUDUBON,Zuri,Female,"Dec 04, 2015",280,229,
616,AUDUBON,Kali,Female,"Dec 04, 2015",280,229,
585,AUDUBON,Arnold,Male,"Jan 28, 2015",475,436,
499,BALTIMORE,Zuri,Female,"Sep 24, 2013",MULT1,395,
301,BALTIMORE,HASSAN,Male,"Jul 11, 2007",173,109,
556,BATTLE CR,Shelby,Female,"Jul 30, 2014",148,392,
555,BATTLE CR,Salem,Female,"Jul 30, 2014",148,392,
550,BATTLE CR,Enzi Saba,Male,"Jul 07, 2014",325,428,
590,BIRMINGHM,JOSH,Male,"Jul 25, 2015",342,317,
251,BIRMINGHM,AKILLI,Female,"Aug 25, 2005",173,109,
504,BOISE,REVAN,Male,"Oct 04, 2013",301,404,
T5001,BOISE,Mudiwa,Female,"Nov 01, 2000 +/- 15 day",UND,UND,
662,BREVARD,Chobe,Male,"May 14, 2019",369,281,
661,BREVARD,Karoo,Male,"May 14, 2019",369,281,
