ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
95,12/03/1991,"CROWE
BOB",173,2,Male,Birth/Hatch,12/03/1991,"OKLAHOM
A",
,,,,,,Transfer,22/12/1992,CROWE BOB,
,,,,,,GO LTF,22/12/1992,CROWE BOB,
96,11/05/1991,BOB TAMMONE,UND,UND,Undetermin ed,Birth/Hatch,11/05/1991,BUSCH TAM,
,,,,,,Transfer,23/06/1993,"BOB
TAMMONE",
,,,,,,GO LTF,23/06/1993,BOB TAMMONE,
97,12/05/1991,R. SAUVE,UND,UND,"Undetermin
ed",Birth/Hatch,12/05/1991,"BUSCH
TAM",
,,,,,,Transfer,29/06/1992,R. SAUVE,
,,,,,,GO LTF,29/06/1992,R. SAUVE,
98,15/05/1992,R. SAUVE,UND,UND,"Undetermin
ed",Birth/Hatch,15/05/1992,"BUSCH
TAM",
,,,,,,Transfer,04/06/1992,R. SAUVE,
,,,,,,GO LTF,04/06/1992,R. SAUVE,
99,15/05/1992,BOB TAMMONE,UND,UND,Undetermin ed,Birth/Hatch,15/05/1992,BUSCH TAM,
,,,,,,Transfer,23/06/1993,BOB TAMMONE,
,,,,,,GO LTF,23/06/1993,BOB TAMMONE,
100,17/05/1992,BUSCH TAM,UND,UND,Undetermin ed,Birth/Hatch,17/05/1992,BUSCH TAM,
,,,,,,Death,22/05/1992,"BUSCH
TAM",
101,29/05/1993,R. SAUVE,294,22,Female,Birth/Hatch,29/05/1993,BUSCH TAM,
,,,,,,Transfer,01/09/1993,R. SAUVE,
,,,,,,GO LTF,01/09/1993,R. SAUVE,
102,20/05/1993,BAKER JIM,294,22,Male,Birth/Hatch,20/05/1993,BUSCH TAM,
,,,,,,Transfer,05/09/1994,BAKER JIM,
,,,,,,GO LTF,05/09/1994,BAKER JIM,
103,30/06/1991,UNDETER MI,41,40,Undetermin ed,Birth/Hatch,30/06/1991,LUBEE,
,,,,,,Transfer,28/04/1992,"UNDETER
MI",
,,,,,,GO LTF,28/04/1992,UNDETER MI,
104,06/08/1991,OMAHA,4,24,Male,Birth/Hatch,06/08/1991,"DES
MOINE",
,,,,,,Transfer,28/07/1993,OMAHA,
,,,,,,Death,20/01/2009,OMAHA,
105,06/08/1991,"DES
MOINE",4,24,"Undetermin
ed",Birth/Hatch,06/08/1991,"DES
MOINE",
,,,,,,Death,03/11/1991,DES MOINE,
107,02/09/1993,"UNDETER
MI",UND,UND,Female,Birth/Hatch,02/09/1993,"BUSCH
TAM",
,,,,,,Transfer,16/03/2004,J.HOLCOM B,
,,,,,,GO LTF,16/03/2004,"J.HOLCOM
B",
,,,,,,Return from LTF,30/11/2005,UNDETER MI,
,,,,,,Death,30/11/2005,UNDETER MI,
108,26/12/1991,CROWE BOB,173,2,Male,Birth/Hatch,26/12/1991,OKLAHOM A,
,,,,,,GO LTF,26/12/1991,UNDETER MI,
,,,,,,Return from LTF,19/05/1992,OKLAHOM A,
,,,,,,Transfer,22/12/1992,"CROWE
BOB",
,,,,,,GO LTF,22/12/1992,CROWE BOB,
109,26/12/1991,"CROWE
BOB",173,2,Male,Birth/Hatch,26/12/1991,"OKLAHOM
A",
,,,,,,Transfer,22/12/1992,CROWE BOB,
,,,,,,GO LTF,22/12/1992,"CROWE
BOB",
110,"01/01/1993
+/- 1 year",OLLSON C,UND,UND,Female,Birth/Hatch,"01/01/1993
+/- 1 year",Undetermin ed,
,,,,,,Transfer,"01/01/1993
+/- 1 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1993
+/- 1 year",UNDETER MI,
,,,,,,Return from LTF,16/11/1995,TOWILL R,
,,,,,,Transfer,16/11/1995,WILD WRLD,
,,,,,,Transfer,27/10/2003,OLLSON C,
,,,,,,GO LTF,27/10/2003,OLLSON C,
111,28/06/1993,WORLDBIR D,11,17,Female,Birth/Hatch,28/06/1993,SAN ANTON,
,,,,,,Transfer,04/03/1994,WORLDBIR D,
,,,,,,GO LTF,04/03/1994,WORLDBIR D,
112,01/07/1993,PRIVATE,11,17,Male,Birth/Hatch,01/07/1993,"SAN
ANTON",
,,,,,,Transfer,04/03/1994,WORLDBIR D,
,,,,,,Transfer,01/07/1997,PRIVATE,
113,07/07/1993,Undetermin ed,11,17,Undetermin ed,Birth/Hatch,07/07/1993,SAN ANTON,
,,,,,,GO LTF,10/08/1993,"Undetermin
ed",
114,07/07/1993,PRIVATE,11,17,Female,Birth/Hatch,07/07/1993,SAN ANTON,
,,,,,,Transfer,04/03/1994,WORLDBIR D,
,,,,,,Transfer,01/07/1997,PRIVATE,
,,,,,,GO LTF,01/07/1997,PRIVATE,
115,16/03/1994,"OKLAHOM
A",173,2,"Undetermin
ed",Birth/Hatch,16/03/1994,"OKLAHOM
A",
,,,,,,Death,20/03/1994,OKLAHOM A,
116,29/06/1994,"OKLAHOM
A",173,2,Male,Birth/Hatch,29/06/1994,"OKLAHOM
A",
,,,,,,Death,15/12/1995,OKLAHOM A,
118,18/04/1995,"BUSCH
TAM",294,22,"Undetermin
ed",Birth/Hatch,18/04/1995,"BUSCH
TAM",
,,,,,,Death,01/05/1995,BUSCH TAM,
119,18/04/1995,BAKER JIM,294,22,Undetermin ed,Birth/Hatch,18/04/1995,BUSCH TAM,
,,,,,,Transfer,07/08/1995,BAKER JIM,
,,,,,,GO LTF,07/08/1995,BAKER JIM,
120,18/04/1995,BAKER JIM,294,22,"Undetermin
ed",Birth/Hatch,18/04/1995,"BUSCH
TAM",
,,,,,,Transfer,07/08/1995,BAKER JIM,
,,,,,,GO LTF,07/08/1995,BAKER JIM,
121,"01/10/1995
+/- 2 year",HAL PRES,UND,UND,Female,Birth/Hatch,"01/10/1995
+/- 2 year",HAL PRES,
,,,,,,GO LTF,"01/10/1995
+/- 2 year",HAL PRES,
,,,,,,"Return from
LTF",26/03/1997,HAL PRES,
,,,,,,Transfer,26/03/1997,HAL PRES,
,,,,,,GO LTF,26/03/1997,HAL PRES,
122,03/07/1996,"PARROTTR
U",45,17,Male,Birth/Hatch,03/07/1996,"SAN
ANTON",
,,,,,,Transfer,21/11/2002,PARROTTR U,
,,,,,,GO LTF,21/11/2002,"PARROTTR
U",
123,24/05/1996,BUSCH TAM,294,22,Undetermin ed,Birth/Hatch,24/05/1996,BUSCH TAM,
,,,,,,Death,06/06/1996,BUSCH TAM,
124,14/05/1997,ROBIN HAYDEN,294,22,Undetermin ed,Birth/Hatch,14/05/1997,BUSCH TAM,
,,,,,,Transfer,12/05/2000,ROBIN HAYDEN,
,,,,,,GO LTF,12/05/2000,ROBIN HAYDEN,
125,22/07/1996,SEDGWICK,UND,UND,Female,Birth/Hatch,22/07/1996,HAL PRES,
,,,,,,GO LTF,22/07/1996,HAL PRES,
,,,,,,Return from LTF,26/03/1997,HAL PRES,
,,,,,,Transfer,26/03/1997,SEDGWICK,
,,,,,,Death,24/06/2016,SEDGWICK,
126,03/06/1996,TULSA,UND,UND,Male,Birth/Hatch,03/06/1996,FAUNALIN K,
,,,,,,GO LTF,03/06/1996,FAUNALIN K,
,,,,,,Return from LTF,19/05/2004,FAUNALIN K,
,,,,,,Transfer,19/05/2004,TULSA,
128,03/01/1997,BATONRO UG,79,21,Male,Birth/Hatch,03/01/1997,BATONRO UG,
129,09/02/1997,BATONRO UG,79,21,Undetermin ed,Birth/Hatch,09/02/1997,BATONRO UG,
,,,,,,Death,06/04/1997,BATONRO UG,
130,27/02/1997,"WORLDBIR
D",79,21,Female,Birth/Hatch,27/02/1997,"BATONRO
UG",
,,,,,,Transfer,14/08/1997,WORLDBIR D,
131,23/03/1997,"WORLDBIR
D",79,21,Female,Birth/Hatch,23/03/1997,"BATONRO
UG",
,,,,,,Transfer,14/08/1997,WORLDBIR D,
132,17/05/1997,"BUSCH
TAM",294,22,"Undetermin
ed",Birth/Hatch,17/05/1997,"BUSCH
TAM",
,,,,,,Death,"01/01/2010
+/- 1 year",BUSCH TAM,
133,12/06/1997,TULSA,3,277,Female,Birth/Hatch,12/06/1997,"STCATHER
N",
,,,,,,Transfer,15/12/1998,TULSA,
,,,,,,Death,18/05/2020,TULSA,
134,15/06/1997,"ATASCADE
R",3,277,Male,Birth/Hatch,15/06/1997,"STCATHER
N",
,,,,,,Transfer,15/12/1998,TULSA,
,,,,,,Transfer,14/05/2018,ATASCADE R,
135,26/06/1997,"PARROTTR
U",45,17,Female,Birth/Hatch,26/06/1997,"SAN
ANTON",
,,,,,,Transfer,23/09/1999,PARROTTR U,
,,,,,,GO LTF,23/09/1999,"PARROTTR
U",
137,26/06/1997,FALLBROO K,45,17,Female,Birth/Hatch,26/06/1997,SAN ANTON,
,,,,,,Transfer,28/01/1999,FALLBROO K,
,,,,,,GO LTF,28/01/1999,FALLBROO K,
138,26/06/1997,SEDGWICK,45,17,Female,Birth/Hatch,26/06/1997,"SAN
ANTON",
,,,,,,Transfer,02/03/2000,TULSA,
,,,,,,Transfer,02/06/2016,SEDGWICK,
139,"01/01/1998
+/- 2 year",FORTWOR TH,UND,UND,Male,Birth/Hatch,"01/01/1998
+/- 2 year",Undetermin ed,
,,,,,,Transfer,~>01/01/19 98,UNKN0WN,
,,,,,,GO LTF,"01/01/1998
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,11/05/2005,Undetermin ed,
,,,,,,Transfer,12/05/2005,"BLOOMING
T",
,,,,,,Transfer,04/09/2020,FORTWOR TH,
140,"01/01/1998
+/- 2 year","BLOOMING
T",UND,UND,Female,Birth/Hatch,"01/01/1998
+/- 2 year","Undetermin
ed",
,,,,,,Transfer,~>01/01/19 98,UNKN0WN,
,,,,,,GO LTF,"01/01/1998
+/- 2 year",UNDETER MI,
,,,,,,Return from LTF,12/05/2007,UNDETER MI,
,,,,,,Transfer,12/05/2007,BLOOMING T,
,,,,,,Death,14/05/2008,BLOOMING T,
141,05/02/1999,"BATONRO
UG",79,21,"Undetermin
ed",Birth/Hatch,05/02/1999,"BATONRO
UG",
,,,,,,Death,07/02/1999,BATONRO UG,
142,08/02/1999,"BATONRO
UG",79,21,Female,Birth/Hatch,08/02/1999,"BATONRO
UG",
143,"07/04/1999
+/- 1 month",SEDGWICK,332,2,Male,Birth/Hatch,"07/04/1999
+/- 1 month",NATAVPGH,
,,,,,,Transfer,17/03/2000,SEDGWICK,
,,,,,,Death,29/01/2015,SEDGWICK,
144,18/04/1999,BATONRO UG,79,21,Male,Birth/Hatch,18/04/1999,BATONRO UG,
145,06/07/1999,TULSA,332,2,Male,Birth/Hatch,06/07/1999,NATAVPGH,
,,,,,,Transfer,30/03/2000,TULSA,
,,,,,,Transfer,30/05/2000,TULSA,
,,,,,,Death,26/11/2002,TULSA,
146,27/02/1997,BATONRO UG,79,21,Male,Birth/Hatch,27/02/1997,BATONRO UG,
147,20/04/1993,OKLAHOM A,173,2,Undetermin ed,Birth/Hatch,20/04/1993,OKLAHOM A,
,,,,,,Death,24/06/1993,OKLAHOM A,
148,26/12/1991,CROWE BOB,173,2,Male,Birth/Hatch,26/12/1991,OKLAHOM A,
,,,,,,Transfer,22/12/1992,"CROWE
BOB",
,,,,,,GO LTF,22/12/1992,CROWE BOB,
149,22/02/1991,"SAN
ANTON",11,17,Female,Birth/Hatch,22/02/1991,"SAN
ANTON",
,,,,,,Death,01/07/1992,SAN ANTON,
150,20/04/1990,TUCSON,184,176,Male,Birth/Hatch,20/04/1990,STCATHER N,
,,,,,,Transfer,11/10/1990,TUCSON,
,,,,,,Death,29/01/2000,TUCSON,
151,20/04/1990,TUCSON,184,176,"Undetermin
ed",Birth/Hatch,20/04/1990,"STCATHER
N",
,,,,,,Transfer,11/10/1990,TUCSON,
,,,,,,Death,03/02/2011,TUCSON,
152,03/07/1990,TUCSON,185,186,Female,Birth/Hatch,03/07/1990,SANFORD,
,,,,,,Transfer,20/11/1990,TUCSON,
,,,,,,Death,01/04/2000,TUCSON,
153,03/07/1990,BRZY RIDG,185,186,Female,Birth/Hatch,03/07/1990,SANFORD,
,,,,,,Transfer,20/11/1990,TUCSON,
,,,,,,Transfer,19/03/2003,BRZY RIDG,
,,,,,,GO LTF,19/03/2003,BRZY RIDG,
154,28/06/1993,WORLDBIR D,11,17,Female,Birth/Hatch,28/06/1993,SAN ANTON,
,,,,,,Transfer,04/03/1994,WORLDBIR D,
,,,,,,Transfer,"01/01/1995
+/- 2 year","WORLDBIR
D",
,,,,,,GO LTF,"01/01/1995
+/- 2 year",WORLDBIR D,
,,,,,,"Return from
LTF",11/03/1996,"WORLDBIR
D",
,,,,,,Transfer,11/03/1996,TUCSON,
,,,,,,Transfer,03/06/1996,TUCSON,
,,,,,,Transfer,10/04/2002,"WORLDBIR
D",
,,,,,,GO LTF,10/04/2002,WORLDBIR D,
,,,,,,"Return from
LTF",18/04/2002,"WORLDBIR
D",
,,,,,,Death,19/04/2002,WORLDBIR D,
155,24/02/2000,"PARROTTR
U",79,21,"Undetermin
ed",Birth/Hatch,24/02/2000,"BATONRO
UG",
,,,,,,Transfer,28/11/2001,PARROTTR U,
,,,,,,GO LTF,28/11/2001,"PARROTTR
U",
156,27/01/2001,BATONRO UG,79,21,Undetermin ed,Birth/Hatch,27/01/2001,BATONRO UG,
,,,,,,Death,27/02/2001,"BATONRO
UG",
157,24/01/2001,BATONRO UG,79,21,Female,Birth/Hatch,24/01/2001,BATONRO UG,
,,,,,,Death,06/03/2001,"BATONRO
UG",
158,24/01/2001,BATONRO UG,79,21,Undetermin ed,Birth/Hatch,24/01/2001,BATONRO UG,
,,,,,,Death,06/03/2001,"BATONRO
UG",
159,"01/01/2002
+/- 1 year",WILD WRLD,UND,UND,Male,Birth/Hatch,"01/01/2002
+/- 1 year",Undetermin ed,
,,,,,,GO LTF,"01/01/2002
+/- 1 year",UNDETER MI,
,,,,,,Return from LTF,30/01/2006,HARDY,
,,,,,,Transfer,30/01/2006,"WILD
WRLD",
,,,,,,GO LTF,30/01/2006,WILD WRLD,
160,12/03/2002,"BATONRO
UG",79,21,Male,Birth/Hatch,12/03/2002,"BATONRO
UG",
161,12/03/2002,BATONRO UG,79,21,Male,Birth/Hatch,12/03/2002,BATONRO UG,
162,"01/01/2003
+/- 2 year",GLENDALE,UND,UND,Female,Birth/Hatch,"01/01/2003
+/- 2 year","Undetermin
ed",
,,,,,,GO LTF,"01/01/2003
+/- 2 year",UNDETER MI,
,,,,,,Return from LTF,"09/02/2005
+/- 2 year",UNDETER MI,
,,,,,,Transfer,"09/02/2005
+/- 2 year",PRITCHET T-MILLIE,
,,,,,,Transfer,09/02/2007,WILD WRLD,
,,,,,,Transfer,20/02/2007,GLENDALE,
,,,,,,GO LTF,20/02/2007,GLENDALE,
163,12/04/2005,BATONRO UG,79,21,Undetermin ed,Birth/Hatch,12/04/2005,BATONRO UG,
,,,,,,Death,02/06/2005,BATONRO UG,
164,12/04/2005,BATONRO UG,79,21,Male,Birth/Hatch,12/04/2005,BATONRO UG,
,,,,,,Death,16/03/2019,BATONRO UG,
165,09/02/2005,"BATONRO
UG",79,21,Female,Birth/Hatch,09/02/2005,"BATONRO
UG",
166,28/06/2007,WORLDBIR D,185,186,Female,Birth/Hatch,28/06/2007,SANFORD,
,,,,,,Transfer,17/07/2007,"WORLDBIR
D",
167,01/07/2007,WORLDBIR D,185,186,Female,Birth/Hatch,01/07/2007,SANFORD,
,,,,,,Transfer,17/07/2007,WORLDBIR D,
,,,,,,GO LTF,17/07/2007,WORLDBIR D,
,,,,,,"Return from
LTF",12/11/2010,"WORLDBIR
D",
,,,,,,Death,12/12/2010,WORLDBIR D,
168,"01/01/1984
+/- 2 year","WILD
WRLD",UND,UND,Male,Birth/Hatch,"01/01/1984
+/- 2 year","Undetermin
ed",
,,,,,,Transfer,"01/01/1985
+/- 1 year",GLENDALE,
,,,,,,Transfer,09/01/1986,"WILD
WRLD",
,,,,,,Death,13/12/1986,WILD WRLD,
169,"01/01/1993
+/- 2 year",GHASSEMI,UND,UND,Female,Birth/Hatch,"01/01/1993
+/- 2 year","HAWAII:
Invalid use of GeoRef",
,,,,,,GO LTF,"01/01/1993
+/- 2 year",UNDETER MI,
,,,,,,Return from LTF,"17/11/1993
+/- 2 year",UNDETER MI,
,,,,,,Transfer,"17/11/1993
+/- 2 year",TOWILL R,
,,,,,,Transfer,17/11/1995,WILD WRLD,
,,,,,,Transfer,07/08/1996,GHASSEMI,
,,,,,,GO LTF,07/08/1996,GHASSEMI,
170,"17/11/1993
+/- 2 year",WILD WRLD,UND,UND,Female,Birth/Hatch,"17/11/1993
+/- 2 year","HAWAII:
Invalid use of GeoRef",
,,,,,,Transfer,"17/11/1993
+/- 2 year",TOWILL R,
,,,,,,GO LTF,"17/11/1993
+/- 2 year",TOWILL R,
,,,,,,"Return from
LTF",17/11/1995,TOWILL R,
,,,,,,Transfer,17/11/1995,WILD WRLD,
,,,,,,GO LTF,17/11/1995,WILD WRLD,
,,,,,,Return from LTF,01/06/2010,WILD WRLD,
,,,,,,GO LTF,01/08/2010,"WILD
WRLD",
171,"16/11/1993
+/- 2 year",OLLSON C,UND,UND,Male,Birth/Hatch,"16/11/1993
+/- 2 year",Undetermin ed,
,,,,,,Transfer,"16/11/1993
+/- 2 year",UNKNOWN,
,,,,,,GO LTF,"16/11/1995
+/- 2 year",UNDETER MI,
,,,,,,"Return from
LTF",16/11/1995,"UNDETER
MI",
,,,,,,Transfer,16/11/1995,TOWILL R,
,,,,,,Transfer,16/11/1995,"WILD
WRLD",
,,,,,,Transfer,27/10/2003,OLLSON C,
,,,,,,GO LTF,27/10/2003,OLLSON C,
172,"01/01/1974
+/- 2 year",OKLAHOM A,WILD,WILD,Male,Birth/Hatch,"01/01/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1974
+/- 2 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1974
+/- 2 year","BOLIVIA:
Invalid use of GeoRef",
,,,,,,Return from LTF,"01/01/1974
+/- 2 year",BLU RIDGE,
,,,,,,Transfer,"06/10/1976
+/- 2 year",NY BRONX,
,,,,,,Transfer,20/05/1977,"STCATHER
N",
,,,,,,Transfer,28/06/1984,OKLAHOM A,
,,,,,,Death,16/06/1990,"OKLAHOM
A",
173,"01/01/1971
+/- 2 year",NATAVPGH,WILD,WILD,Male,Birth/Hatch,"01/01/1971
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,Undetermin ed,Bolivia / ~,
,,,,,,Transfer,Undetermin ed,BLU RIDGE,
,,,,,,GO LTF,"Undetermin
ed",BLU RIDGE,
,,,,,,Return from LTF,06/10/1976,UNDETER MI,
,,,,,,Transfer,06/10/1976,NY BRONX,
,,,,,,Transfer,14/03/1977,STCATHER N,
,,,,,,Transfer,11/10/1990,"OKLAHOM
A",
,,,,,,Transfer,25/09/1996,NATAVPGH,
,,,,,,Death,26/02/1998,NATAVPGH,
174,"04/10/1974
+/- 2 year",YANIK AV,WILD,WILD,Female,Birth/Hatch,"04/10/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"04/10/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"04/10/1974
+/- 2 year",UNKN0WN,
,,,,,,GO LTF,"04/10/1974
+/- 2 year",UNDETER MI,
,,,,,,"Return from
LTF","04/10/1974
+/- 2 year","UNDETER
MI",
,,,,,,Transfer,"04/10/1974
+/- 2 year",EL CAJON,
,,,,,,Transfer,04/10/1976,"OKLAHOM
A",
,,,,,,Transfer,21/08/1985,YANIK AV,
,,,,,,GO LTF,21/08/1985,YANIK AV,
175,"04/10/1974
+/- 2 year","STCATHER
N",WILD,WILD,Female,Birth/Hatch,"04/10/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"04/10/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"04/10/1974
+/- 2 year",EL CAJON,
,,,,,,Transfer,04/10/1976,OKLAHOM A,
,,,,,,Transfer,03/03/1981,NY BRONX,
,,,,,,Transfer,17/03/1981,STCATHER N,
,,,,,,Death,01/08/1989,"STCATHER
N",
176,"23/09/1974
+/- 2 year",FAUNALIN K,WILD,WILD,Female,Birth/Hatch,"23/09/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"23/09/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"23/09/1976
+/- 2 year",EL CAJON,
,,,,,,Transfer,23/09/1976,"OKLAHOM
A",
,,,,,,Transfer,22/11/1976,NY BRONX,
,,,,,,Transfer,03/03/1981,NY BRONX,
,,,,,,Transfer,17/03/1981,"STCATHER
N",
,,,,,,GO LTF,26/01/1995,FAUNALIN K,
177,"23/09/1974
+/- 2 year",STCATHER N,WILD,WILD,Female,Birth/Hatch,"23/09/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"23/09/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"23/09/1974
+/- 2 year",EL CAJON,
,,,,,,Transfer,23/09/1976,OKLAHOM A,
,,,,,,Transfer,03/03/1981,NY BRONX,
,,,,,,Transfer,17/03/1981,"STCATHER
N",
,,,,,,Death,12/07/1990,STCATHER N,
178,"25/10/1979
+/- 2 year",BACKTALK,UND,UND,Male,Birth/Hatch,"25/10/1979
+/- 2 year","Undetermin
ed",
,,,,,,Transfer,"25/10/1979
+/- 2 year",HOUSTON,
,,,,,,Transfer,28/04/1980,HOUSTON,
,,,,,,Transfer,25/10/1981,OKLAHOM A,
,,,,,,Transfer,09/01/1985,HOUSTON,
,,,,,,Transfer,27/01/1987,BACKTALK,
,,,,,,GO LTF,27/01/1987,BACKTALK,
179,"01/01/1995
+/- 2 year",WILD WRLD,UND,UND,Male,Birth/Hatch,"01/01/1995
+/- 2 year",Undetermin ed,
,,,,,,GO LTF,"01/01/1995
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,03/10/1996,GHASSEMI,
,,,,,,Transfer,03/10/1996,"WILD
WRLD",
,,,,,,GO LTF,03/10/1996,WILD WRLD,
,,,,,,"Return from
LTF",01/06/2010,"WILD
WRLD",
,,,,,,GO LTF,01/08/2010,WILD WRLD,
180,"07/05/1995
+/- 2 year",SAN ANTON,UND,UND,Male,Birth/Hatch,"07/05/1995
+/- 2 year",Undetermin ed,
,,,,,,Transfer,"07/05/1995
+/- 2 year",UNKNOWN,
,,,,,,GO LTF,"07/05/1995
+/- 2 year",UNDETER MI,
,,,,,,Return from LTF,"07/05/1995
+/- 2 year",UNDETER MI,
,,,,,,Transfer,"07/05/1995
+/- 2 year","PARROTTR
U",
,,,,,,Transfer,07/05/1997,SAN ANTON,
,,,,,,Death,17/06/1997,"SAN
ANTON",
181,"01/06/1996
+/- 2 year",WILD WRLD,UND,UND,Male,Birth/Hatch,"01/06/1996
+/- 2 year",Undetermin ed,
,,,,,,GO LTF,"01/06/1996
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,06/06/2006,CONTE,
,,,,,,Transfer,06/06/2006,"WILD
WRLD",
,,,,,,GO LTF,06/06/2006,WILD WRLD,
184,"01/01/1974
+/- 2 year",FAUNALIN K,WILD,WILD,Male,Birth/Hatch,"01/01/1974
+/- 2 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1974
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"~>01/01/19
74",UNKNOWN,
,,,,,,GO LTF,"01/01/1974
+/- 2 year",UNDETER MI,
,,,,,,"Return from
LTF","01/01/1974
+/- 2 year",BLU RIDGE,
,,,,,,Transfer,22/11/1976,NY BRONX,
,,,,,,Transfer,14/03/1977,"STCATHER
N",
,,,,,,Transfer,26/01/1995,FAUNALIN K,
,,,,,,GO LTF,26/01/1995,"FAUNALIN
K",
185,"01/01/1980
+/- 2 year",SANFORD,WILD,WILD,Male,Birth/Hatch,"01/01/1980
+/- 2 year",Bolivia / ~,
,,,,,,"Wild
Capture","01/01/1980
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1980
+/- 2 year",UNKN0WN,
,,,,,,GO LTF,"01/01/1980
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,02/12/1982,EXOTICS R,
,,,,,,Transfer,02/12/1982,SANFORD,
,,,,,,Death,01/04/2017,SANFORD,
186,"01/01/1980
+/- 2 year",SANFORD,WILD,WILD,Female,Birth/Hatch,"01/01/1980
+/- 2 year",Bolivia / ~,
,,,,,,"Wild
Capture","01/01/1980
+/- 2 year",Bolivia / ~,
,,,,,,Transfer,02/12/1982,SANFORD,
,,,,,,Death,24/02/2010,SANFORD,
187,"01/01/1990
+/- 6 month",SEDGWICK,UND,UND,Female,Birth/Hatch,"01/01/1990
+/- 6 month",Undetermin ed,
,,,,,,GO LTF,"01/01/1990
+/- 6 month","UNDETER
MI",
,,,,,,Return from LTF,"01/01/1991
+/- 1 year",UNDETER MI,
,,,,,,Transfer,"01/01/1991
+/- 6 month",ISSAQUAH,
,,,,,,Transfer,15/03/1993,ISSAQUAH,
,,,,,,Transfer,29/07/2008,"ST
AUGUST",
,,,,,,Transfer,05/05/2010,SEDGWICK,
,,,,,,Transfer,19/06/2010,SEDGWICK,
,,,,,,Death,29/10/2012,SEDGWICK,
188,"01/01/1974
+/- 1 year",STCATHER N,WILD,WILD,Male,Birth/Hatch,"01/01/1974
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1975
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,~>01/01/19 75,UNKN0WN,
,,,,,,GO LTF,"01/01/1975
+/- 1 year",UNDETER MI,
,,,,,,"Return from
LTF",06/10/1976,"UNDETER
MI",
,,,,,,Transfer,06/10/1976,BLU RIDGE,
,,,,,,Transfer,14/03/1977,NY BRONX,
,,,,,,Transfer,14/03/1977,STCATHER N,
,,,,,,Death,04/02/1981,STCATHER N,
189,"01/01/1976
+/- 1 year",PRIVATE,WILD,WILD,Female,Birth/Hatch,"01/01/1976
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1976
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1976
+/- 1 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1976
+/- 1 year",UNDETER MI,
,,,,,,"Return from
LTF","01/01/1979
+/- 3 year","UNDETER
MI",
,,,,,,Transfer,"01/01/1979
+/- 3 year",CHATFIEL D,
,,,,,,Transfer,19/11/1981,"STCATHER
N",
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
190,"01/01/1981
+/- 3 year","UNDETER
MI",WILD,WILD,Female,Birth/Hatch,"01/01/1981
+/- 3 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1981
+/- 3 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1981
+/- 3 year",UNKN0WN,
,,,,,,GO LTF,"01/01/1981
+/- 3 year",UNDETER MI,
,,,,,,Return from LTF,09/11/1983,UNDETER MI,
,,,,,,Transfer,09/11/1983,STCATHER N,
,,,,,,Transfer,21/12/1984,"CHATFIEL
D",
,,,,,,GO LTF,21/12/1984,UNDETER MI,
191,"01/01/1976
+/- 6 year",PRIVATE,WILD,WILD,Male,Birth/Hatch,"01/01/1976
+/- 6 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1976
+/- 6 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1976
+/- 6 year","CHATFIEL
D",
,,,,,,Transfer,19/11/1981,STCATHER N,
,,,,,,Transfer,16/12/1984,PRIVATE,
,,,,,,GO LTF,16/12/1984,PRIVATE,
192,20/07/1983,CHATFIEL D,3,175,Male,Birth/Hatch,20/07/1983,STCATHER N,
,,,,,,Transfer,21/12/1984,"CHATFIEL
D",
,,,,,,GO LTF,21/12/1984,CHATFIEL D,
