ID,Birth_Date,Current_Location,Sire,Dam,Sex,Event_Type,Date,Location,
,,,,,,GO LTF,"01/01/1980
+/- 1 year",UNDETER MI,
,,,,,,"Return from
LTF","01/01/1984
+/- 4 year","UNDETER
MI",
,,,,,,Transfer,"01/01/1984
+/- 4 year",GALE N,
,,,,,,GO LTF,"01/01/1984
+/- 4 year",GALE N,
,,,,,,Return from LTF,08/11/1988,GALE N,
,,,,,,Transfer,08/11/1988,WILD WRLD,
,,,,,,Death,11/02/1992,WILD WRLD,
14,"01/01/1981
+/- 1 year",FLSTMUS,UND,UND,Male,Birth/Hatch,"01/01/1981
+/- 1 year","Undetermin
ed",
,,,,,,Transfer,~>01/01/19 81,UNKN0WN,
,,,,,,GO LTF,"01/01/1982
+/- 2 year","UNDETER
MI",
,,,,,,Return from LTF,18/05/1983,FLSTMUS,
,,,,,,Transfer,19/05/1983,GAINSVLL,
,,,,,,Transfer,05/09/1985,FLSTMUS,
,,,,,,GO LTF,05/09/1985,FLSTMUS,
15,"01/01/1981
+/- 1 year",HAWLEY J,WILD,WILD,Female,Birth/Hatch,"01/01/1981
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1981
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,~>01/01/19 81,UNKNOWN,
,,,,,,GO LTF,"01/01/1983
+/- 3 year",UNDETER MI,
,,,,,,"Return from
LTF",09/01/1986,GLENDALE,
,,,,,,Transfer,09/01/1986,WILD WRLD,
,,,,,,Transfer,24/11/1992,HAWLEY J,
,,,,,,GO LTF,24/11/1992,HAWLEY J,
16,"01/01/1981
+/- 1 year",R&L BIRDS,UND,UND,Female,Birth/Hatch,"01/01/1981
+/- 1 year",Undetermin ed,
,,,,,,Transfer,"01/01/1981
+/- 1 year",UNKN0WN,
,,,,,,GO LTF,"01/01/1981
+/- 1 year",UNDETER MI,
,,,,,,"Return from
LTF",04/06/1983,R&L BIRDS,
,,,,,,Transfer,04/06/1983,GAINSVLL,
,,,,,,Transfer,13/07/1985,R&L BIRDS,
,,,,,,GO LTF,13/07/1985,R&L BIRDS,
17,Undetermin ed,PARROTTR U,WILD,WILD,Female,Birth/Hatch,Undetermin ed,Bolivia / ~,
,,,,,,"Wild
Capture","Undetermin
ed",Bolivia / ~,
,,,,,,Transfer,Undetermin ed,TANAMAR A,
,,,,,,GO LTF,"Undetermin
ed","TANAMAR
A",
,,,,,,Return from LTF,19/10/1984,TANAMAR A,
,,,,,,Transfer,19/10/1984,"SAN
ANTON",
,,,,,,Transfer,23/09/1999,PARROTTR U,
,,,,,,GO LTF,23/09/1999,"PARROTTR
U",
18,"01/01/1982
+/- 1 year",UNDETER MI,WILD,WILD,Female,Birth/Hatch,"01/01/1982
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1982
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,"01/01/1982
+/- 1 year",UNKNOWN,
,,,,,,GO LTF,"01/01/1982
+/- 1 year","UNDETER
MI",
,,,,,,Return from LTF,30/09/1983,UNDETER MI,
,,,,,,Transfer,30/09/1983,"SAN
ANTON",
,,,,,,Transfer,19/01/1988,UNDETER MI,
,,,,,,GO LTF,19/01/1988,"UNDETER
MI",
19,"01/01/1982
+/- 1 year","UNDETER
MI",WILD,WILD,Male,Birth/Hatch,"01/01/1982
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/01/1982
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,30/09/1983,"SAN
ANTON",
,,,,,,Transfer,19/01/1988,UNDETER MI,
,,,,,,GO LTF,19/01/1988,UNDETER MI,
20,"01/06/1982
+/- 1 year",HOLIDAY,WILD,WILD,Male,Birth/Hatch,"01/06/1982
+/- 1 year",Bolivia / ~,
,,,,,,"Wild
Capture","01/06/1982
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,~>01/06/19 82,UNKN0WN,
,,,,,,GO LTF,"01/09/1982
+/- 4 month","UNDETER
MI",
,,,,,,Return from LTF,"01/09/1982
+/- 4 month",CHASE B,
,,,,,,Transfer,22/12/1982,"BATONRO
UG",
,,,,,,Transfer,01/03/1994,HOLIDAY,
,,,,,,GO LTF,01/03/1994,HOLIDAY,
21,"01/06/1982
+/- 1 year","BATONRO
UG",WILD,WILD,Female,Birth/Hatch,"01/06/1982
+/- 1 year",Bolivia / ~,
,,,,,,Wild Capture,"01/06/1982
+/- 1 year",Bolivia / ~,
,,,,,,Transfer,"01/06/1982
+/- 1 year",UNKN0WN,
,,,,,,GO LTF,"01/06/1982
+/- 1 year",UNDETER MI,
,,,,,,Return from LTF,22/12/1982,CHASE B,
,,,,,,Transfer,22/12/1982,BATONRO UG,
,,,,,,Death,03/09/2016,BATONRO UG,
22,"20/06/1983
+/- 3 year",BUSCH TAM,UND,UND,Female,Birth/Hatch,"20/06/1983
+/- 3 year",DAVIS R,
,,,,,,Transfer,20/06/1983,"BUSCH
TAM",
,,,,,,GO LTF,13/04/2007,UNKN0WN,
,,,,,,"Return from
LTF",14/11/2011,"BUSCH
TAM",
,,,,,,Death,14/11/2011,BUSCH TAM,
23,"01/01/1985
+/- 1 year",OMAHA,UND,UND,Male,Birth/Hatch,"01/01/1985
+/- 1 year","Undetermin
ed",
,,,,,,Transfer,"01/01/1985
+/- 1 year",UNKNOWN,
,,,,,,GO LTF,"01/03/1985
+/- 3 month","UNDETER
MI",
,,,,,,Return from LTF,"20/06/1985
+/- 3 month",USMARSH AL,
,,,,,,Transfer,20/06/1985,DES MOINE,
,,,,,,Transfer,28/07/1993,OMAHA,
,,,,,,Death,08/09/1995,OMAHA,
24,"01/01/1985
+/- 1 year",OMAHA,UND,UND,Female,Birth/Hatch,"01/01/1985
+/- 1 year","Undetermin
ed",
,,,,,,Transfer,~>01/01/19 85,UNKNOWN,
,,,,,,GO LTF,"01/06/1985
+/- 3 month","UNDETER
MI",
,,,,,,Return from LTF,20/06/1985,USMARSH AL,
,,,,,,Transfer,20/06/1985,DES MOINE,
,,,,,,Transfer,28/07/1993,OMAHA,
,,,,,,Death,13/02/2002,OMAHA,
25,18/07/1985,"JERRY CRAWFOR
D",UND,UND,Undetermin ed,Birth/Hatch,18/07/1985,BUSCH TAM,
,,,,,,Transfer,31/07/1985,"JERRY CRAWFOR
D",
,,,,,,GO LTF,31/07/1985,"JERRY CRAWFOR
D",
26,18/07/1985,"BUSCH
TAM",UND,UND,"Undetermin
ed",Birth/Hatch,18/07/1985,"BUSCH
TAM",
,,,,,,Death,17/08/1985,BUSCH TAM,
