ID,Current_Location,ID_Local,Sex,Status,Sire,Dam,Birth_Type,Event_Type,Event_Date,Location,
2641,EVANSVLLE,118015,Male,Alive,2420,2608,Captive Birth/Hatch,Birth/hatch,09/Apr/2012,DUKE PRIM,
2641,EVANSVLLE,118015,Male,Alive,2420,2608,Captive Birth/Hatch,Transfer,11/Jun/2014,SANDIEGOZ,
2641,EVANSVLLE,118015,Male,Alive,2420,2608,Captive Birth/Hatch,Transfer,23/May/2018,EVANSVLLE,
2666,GARDENCTY,117017,Female,Alive,2639,2642,"Captive
Birth/Hatch",Birth/hatch,25/Mar/2016,COLUMBUS,
2666,GARDENCTY,117017,Female,Alive,2639,2642,"Captive
Birth/Hatch",Transfer,30/Aug/2017,GARDENCTY,
2671,GARDENCTY,117022,Male,Alive,2449,2632,Captive Birth/Hatch,Birth/hatch,28/Sep/2016,EL PASO,
2671,GARDENCTY,117022,Male,Alive,2449,2632,Captive Birth/Hatch,Transfer,25/Oct/2017,GARDENCTY,
2634,LITTLEROC,7403,Male,Alive,1131,2414,Captive Birth/Hatch,Birth/hatch,12/Aug/2010,ABQBIOPK,
2634,LITTLEROC,7403,Male,Alive,1131,2414,Captive Birth/Hatch,Transfer,24/Apr/2014,LITTLEROC,
2654,LITTLEROC,7508,Female,Alive,2449,2632,"Captive
Birth/Hatch",Birth/hatch,22/Aug/2014,EL PASO,
2654,LITTLEROC,7508,Female,Alive,2449,2632,"Captive
Birth/Hatch",Transfer,23/Sep/2015,LITTLEROC,
2729,LITTLEROC,7997,Male,Alive,2634,2654,"Captive
Birth/Hatch",Birth/hatch,18/Nov/2023,LITTLEROC,
2730,LITTLEROC,7998,Male,Alive,2634,2654,Captive Birth/Hatch,Birth/hatch,18/Nov/2023,LITTLEROC,
2673,MEMPHIS,19M042,Male,Alive,2649,2638,"Captive
Birth/Hatch",Birth/hatch,16/Dec/2016,MOODY,
2673,MEMPHIS,19M042,Male,Alive,2649,2638,"Captive
Birth/Hatch",Transfer,30/Jan/2018,PUEBLO,
2673,MEMPHIS,19M042,Male,Alive,2649,2638,"Captive
Birth/Hatch",Transfer,04/Nov/2019,MEMPHIS,
2718,MEMPHIS,24M011,Female,Alive,2685,2679,"Captive
Birth/Hatch",Birth/hatch,28/Feb/2022,DULUTH,
2718,MEMPHIS,24M011,Female,Alive,2685,2679,"Captive
Birth/Hatch",Transfer,15/Mar/2024,MEMPHIS,
2732,MEMPHIS,23M072,Male,Alive,2673,2683,Captive Birth/Hatch,Birth/hatch,13/Dec/2023,MEMPHIS,
