ID,Current Location,Sex,Birth_Date,Sire,Dam,Event Type,Date,Location,
73,SD-WAP,Female,"~ from Jan 01, 2003
to Jan 01,
2005",WILD,WILD,Birth/Hatch,"~ from Jan 01, 2003 to Jan
01, 2005",Guinea / ~,
,,,,,,Wild Capture,"~ from Jan 02, 2004 to Dec
04, 2006",Guinea / ~,
,,,,,,Transfer,"Dec 05, 2006",VOGELIMP,
,,,,,,Transfer,"Jan 05, 2007",SD-WAP,
74,SD-WAP,Female,"~ from Jan 01, 2003
to Jan 01,
2005",WILD,WILD,Birth/Hatch,"~ from Jan 01, 2003 to Jan
01, 2005",Guinea / ~,
,,,,,,Wild Capture,"~ from Jan 02, 2004 to Dec
04, 2006",Guinea / ~,
,,,,,,Transfer,"Dec 05, 2006",VOGELIMP,
,,,,,,Transfer,"Jan 05, 2007",SD-WAP,
86,SD-WAP,Female,"Sep 29,
2012",76,73,Birth/Hatch,"Sep 29, 2012",SD-WAP,
105,SD-WAP,Male,"Feb 25,
2018",76,73,Birth/Hatch,"Feb 25, 2018",SD-WAP,
55,SD-WAP,Male,"Feb 10,
2001",23,24,Birth/Hatch,"Feb 10, 2001",HONOLULU,
,,,,,,Transfer,"Sep 06, 2001",SD-WAP,
104,SD-WAP,Male,"Feb 14,
2018",55,74,Birth/Hatch,"Feb 14, 2018",SD-WAP,
130,SD-WAP,Male,"~ from Mar 27,
2022 to
Mar 28,
2022",76,73,Birth/Hatch,"~ from Mar 27, 2022 to Mar
28, 2022",SD-WAP,
118,SD-WAP,Male,"Mar 19,
2020",76,73,Birth/Hatch,"Mar 19, 2020",SD-WAP,
76,SD-WAP,Male,"May 30,
2007",23,24,Birth/Hatch,"May 30, 2007",HONOLULU,
,,,,,,Transfer,"Dec 27, 2007",SD-WAP,
99,ST AUGUST,Female,"Feb 23,
2017",60,27,Birth/Hatch,"Feb 23, 2017",ST AUGUST,
122,ST AUGUST,Male,"Apr 01,
2021",97,99,Birth/Hatch,"Apr 01, 2021",ST AUGUST,
97,ST AUGUST,Male,"Jun 03,
2016",55,74,Birth/Hatch,"Jun 03, 2016",SD-WAP,
,,,,,,Transfer,"Apr 06, 2017",ST AUGUST,
60,ST AUGUST,Male,"Apr 09,
2003",23,24,Birth/Hatch,"Apr 09, 2003",HONOLULU,
,,,,,,Transfer,"Jul 21, 2004",BUSCH TAM,
,,,,,,Transfer,"Aug 14, 2009",ST AUGUST,
127,ST AUGUST,Male,"Feb 06,
2022",57,50,Birth/Hatch,"Feb 06, 2022",ST AUGUST,
95,WORLDBIRD,Female,"May 12,
2015",71,72,Birth/Hatch,"May 12, 2015",SAFARI W,
,,,,,,Transfer,"Oct 16, 2015",WORLDBIRD,
,,,,,,Transfer,"Mar 04, 2018",WORLDBIRD,
90,WORLDBIRD,Male,"Feb 27,
2014",60,27,Birth/Hatch,"Feb 27, 2014",ST AUGUST,
,,,,,,Transfer,"Apr 17, 2014",WORLDBIRD,
106,WORLDBIRD,Male,"Feb 28,
2018",60,27,Birth/Hatch,"Feb 28, 2018",ST AUGUST,
,,,,,,Transfer,"Mar 04, 2018",WORLDBIRD,
112,WORLDBIRD,Male,"Mar 11,
2019",60,27,Birth/Hatch,"Mar 11, 2019",ST AUGUST,
,,,,,,Transfer,"Mar 14, 2019",WORLDBIRD,
