ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location,
1,COLO SPRG,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Africa,
,,,,,,Wild Capture,"Jan 01, 1974",Africa,
,,,,,,Transfer,"Sep 11, 1974",SOUTHWICK,
,,,,,,Transfer,"Oct 11, 1974",DENVER,
,,,,,,Transfer,"Dec 18, 2002",COLO SPRG,
,,,,,,Death,"Jan 18, 2003",COLO SPRG,
2,DENVER,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Africa,
,,,,,,"Wild
Capture","Jan 01, 1974",Africa,
,,,,,,Transfer,"Sep 11, 1974",SOUTHWICK,
,,,,,,Transfer,"Oct 11, 1974",DENVER,
,,,,,,Death,"Mar 09, 1999",DENVER,
3,ST AUGUST,Male,"Apr 11, 1982",1,2,Birth/Hatch,"Apr 11, 1982",DENVER,
,,,,,,Transfer,"Oct 23, 1986",DETROIT,
,,,,,,Transfer,"Oct 29, 2008",ST AUGUST,
,,,,,,Death,"Oct 28, 2011",ST AUGUST,
4,DENVER,Undeter mined,"Mar 26, 1983",1,2,Birth/Hatch,"Mar 26, 1983",DENVER,
,,,,,,Death,"Apr 01, 1983",DENVER,
5,DALLAS,Male,"Mar 26, 1984",1,2,Birth/Hatch,"Mar 26, 1984",DENVER,
,,,,,,Transfer,"May 02, 1986",DALLAS,
,,,,,,Death,"Dec 15, 2011",DALLAS,
6,SD-WAP,Female,"Jan 01, 1984",WILD,WILD,Birth/Hatch,"Jan 01, 1984","Tanzania, United Republic
Of / ~",
,,,,,,Wild Capture,"Jul 01, 1984",FOUTS J,
,,,,,,Transfer,"Aug 30, 1984",SD-WAP,
,,,,,,Death,"Mar 19, 1991",SD-WAP,
7,SD-WAP,Female,"Jan 01, 1984",WILD,WILD,Birth/Hatch,"Jan 01, 1984","Tanzania, United Republic
Of / ~",
,,,,,,"Wild
Capture","Jul 01, 1984",FOUTS J,
,,,,,,Transfer,"Aug 30, 1984",SD-WAP,
,,,,,,Death,"Mar 10, 1991",SD-WAP,
8,SD-WAP,Male,"Jan 01, 1984",WILD,WILD,Birth/Hatch,"Jan 01, 1984","Tanzania, United Republic
Of / ~",
,,,,,,Wild Capture,"Jan 01, 1984","Tanzania, United Republic Of / ~",
,,,,,,Transfer,"Jul 01, 1984",FOUTS J,
,,,,,,Transfer,"Aug 30, 1984",SD-WAP,
,,,,,,Death,"Oct 12, 1991",SD-WAP,
9,VULPRO,Female,"Apr 15, 1984",1,2,Birth/Hatch,"Apr 15, 1984",DENVER,
,,,,,,Transfer,"Oct 23, 1986",DETROIT,
,,,,,,Transfer,"Oct 04, 2021",VULPRO,
,,,,,,GO LTF,"Oct 19, 2021",VULPRO,
10,DETROIT,Male,"Jan 01, 1985",WILD,WILD,Birth/Hatch,"Jan 01, 1985","Tanzania, United Republic
Of / ~",
,,,,,,Wild Capture,"Jan 01, 1985","Tanzania, United
Republic Of / ~",
,,,,,,Transfer,"Feb 01, 1985",NORTHLAND,
,,,,,,Transfer,"May 08, 1985",DETROIT,
,,,,,,Death,"Feb 23, 1992",DETROIT,
11,DETROIT,Female,"Jan 01, 1985",WILD,WILD,Birth/Hatch,"Jan 01, 1985","Tanzania, United Republic Of / ~",
,,,,,,Wild Capture,"Jan 01, 1985","Tanzania, United Republic
Of / ~",
,,,,,,Transfer,"Feb 01, 1985",NORTHLAND,
,,,,,,Transfer,"May 08, 1985",DETROIT,
,,,,,,GO LTF,"Aug 25, 1988",DETROIT,
,,,,,,Return from LTF,"Sep 04, 1988",DETROIT,
,,,,,,Death,"Dec 21, 2018",DETROIT,
12,DALLAS,Male,"Jan 01, 1985",WILD,WILD,Birth/Hatch,"Jan 01, 1985",Africa,
,,,,,,Wild Capture,"Jan 01, 1985",Africa,
,,,,,,Transfer,"Feb 01, 1985",NORTHLAND,
,,,,,,Transfer,"Jan 15, 1986",DALLAS,
,,,,,,Death,"Feb 02, 2012",DALLAS,
13,SD-WAP,Female,"Apr 05, 1986",1,2,Birth/Hatch,"Apr 05, 1986",DENVER,
,,,,,,Transfer,"Oct 23, 1986",DETROIT,
,,,,,,Transfer,"Jan 12, 2005",SD-WAP,
,,,,,,Death,"Oct 29, 2005",SD-WAP,
14,DENVER,Undeter mined,"May 17, 1987",1,2,Birth/Hatch,"May 17, 1987",DENVER,
,,,,,,Death,"May 22, 1987",DENVER,
15,SD-WAP,Male,"Jul 02, 1988",1,2,Birth/Hatch,"Jul 02, 1988",DENVER,
,,,,,,Transfer,"Nov 22, 1988",DETROIT,
,,,,,,Transfer,"Jan 12, 2005",SD-WAP,
,,,,,,Death,"Jul 14, 2017",SD-WAP,
16,CHICAGOLP,Undeter mined,"Jan 01, 1988",WILD,WILD,Birth/Hatch,"Jan 01, 1988",Africa,
,,,,,,Wild Capture,"Jan 01, 1988",Africa,
,,,,,,Transfer,"Feb 01, 1988",BELLBIRD,
,,,,,,Transfer,"Sep 20, 1988",CHICAGOLP,
,,,,,,Death,"Feb 18, 1989",CHICAGOLP,
17,DETROIT,Male,"Jan 01, 1988",WILD,WILD,Birth/Hatch,"Jan 01, 1988",Africa,
,,,,,,Wild Capture,"Jan 01, 1988",Africa,
,,,,,,Transfer,"Feb 01, 1988",BELLBIRD,
,,,,,,Transfer,"Sep 20, 1988",CHICAGOLP,
,,,,,,Transfer,"Nov 09, 2000",DETROIT,
,,,,,,Death,"Jan 14, 2016",DETROIT,
18,DETROIT,Female,"Jan 01, 1988",WILD,WILD,Birth/Hatch,"Jan 01, 1988",Africa,
,,,,,,Wild Capture,"Jan 01, 1988",Africa,
,,,,,,Transfer,"Feb 01, 1988",BELLBIRD,
,,,,,,Transfer,"Sep 20, 1988",CHICAGOLP,
,,,,,,Transfer,"Nov 09, 2000",DETROIT,
,,,,,,Death,"Apr 21, 2012",DETROIT,
19,PITTSBURG,Female,"Jan 01, 1988",WILD,WILD,Birth/Hatch,"Jan 01, 1988",Africa,
,,,,,,Wild Capture,"Jan 01, 1988",Africa,
,,,,,,Transfer,"Feb 01, 1988",BELLBIRD,
,,,,,,Transfer,"Sep 20, 1988",CHICAGOLP,
,,,,,,Transfer,"Feb 03, 1993",PITTSBURG,
,,,,,,Death,"Feb 05, 2006",PITTSBURG,
20,CHICAGOLP,"Undeter
mined","Jan 01, 1988",WILD,WILD,Birth/Hatch,"Jan 01, 1988",Africa,
,,,,,,Wild Capture,"Jan 01, 1988",Africa,
,,,,,,Transfer,"Feb 01, 1988",BELLBIRD,
,,,,,,Transfer,"Sep 20, 1988",CHICAGOLP,
,,,,,,Death,"Feb 18, 1989",CHICAGOLP,
21,DETROIT,Male,"Mar 30, 1990",8,UND,Birth/Hatch,"Mar 30, 1990",SD-WAP,
,,,,,,Transfer,"Jan 29, 1992",DETROIT,
,,,,,,Death,"Apr 15, 1992",DETROIT,
22,FELD PRDCTN,Undeter mined,"Mar 26, 1991",8,UND,Birth/Hatch,"Mar 26, 1991",SD-WAP,
,,,,,,Transfer,"Aug 26, 1992","FELD
PRDCTN",
,,,,,,GO LTF,"Aug 26, 1992",FELD PRDCTN,
23,HONOLULU,Male,"Jan 01, 1991",WILD,WILD,Birth/Hatch,"Jan 01, 1991",Africa,
,,,,,,Wild Capture,"Nov 01, 1991",Africa,
