ID,Current_Location,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location
,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,Death,1-Nov-93,SANDIEGOZ
1019,SANDIEGOZ,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,01/Mar/1986 +/- 1 day,SKANAKV
,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,Death,2-Mar-95,SANDIEGOZ
1020,SANDIEGOZ,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,"01/Mar/1986 +/-
1 day",SKANAKV
,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,Death,5-Dec-90,SANDIEGOZ
1021,SANDIEGOZ,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Undetermined
,,,,,,Wild Capture,Undetermined,Undetermined
,,,,,,Transfer,"01/Mar/1986 +/-
1 day",SKANAKV
,,,,,,Transfer,5-Apr-87,SANDIEGOZ
,,,,,,Death,8-Jul-99,SANDIEGOZ
1022,MINNESOTA,Male,"01/Jan/1985 +/-
6 month",WILD,WILD,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Apr-86,SKANAKV
,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,Transfer,23-Jun-98,MINNESOTA
,,,,,,Death,10-Apr-00,MINNESOTA
1023,DUKE PRIM,Male,01/Mar/1985 +/- 6 month,WILD,WILD,Birth/Hatch,01/Mar/1985 +/- 6 month,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,19-Dec-86,SKANAKV
,,,,,,Transfer,5-Apr-87,DUKE PRIM
,,,,,,Death,31-May-96,DUKE PRIM
1024,CHICAGOBR,Female,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
,,,,,,Wild Capture,Undetermined,Viet Nam / ~
,,,,,,Transfer,1-Mar-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Transfer,12-Oct-88,CHICAGOBR
,,,,,,Death,29-Jun-90,CHICAGOBR
1025,CINCINNAT,Male,"01/Jan/1985 +/-
6 month",WILD,WILD,Birth/Hatch,"01/Jan/1985 +/-
6 month",Viet Nam / ~
,,,,,,Wild Capture,01/Jan/1985 +/- 6 month,Viet Nam / ~
,,,,,,Transfer,25-Sep-86,SKANAKV
,,,,,,Transfer,20-Jul-87,CINCINNAT
,,,,,,Death,26-May-97,CINCINNAT
1026,CINCINNAT,Male,Undetermined,WILD,WILD,Birth/Hatch,Undetermined,Viet Nam / ~
