ID,Current_Location,Sex,Sire,Dam,Event_Type,Date,Location,
,,,,,Transfer,25/Jun/2009,PROSPECTP,
,,,,,Transfer,26/Oct/2022,EL PASO,
2632,EL PASO,Female,1130,2436,Birth/hatch,09/Aug/2010,PHILADELP,
,,,,,Transfer,01/Feb/2012,EL PASO,
2502,EVANSVLLE,Female,1138,2413,Birth/hatch,07/Jan/2007,CLEVELAND,
,,,,,Transfer,05/May/2009,DUKE PRIM,
,,,,,Transfer,10/Sep/2019,EVANSVLLE,
2641,EVANSVLLE,Male,2420,2608,Birth/hatch,09/Apr/2012,DUKE PRIM,
,,,,,Transfer,11/Jun/2014,SANDIEGOZ,
,,,,,Transfer,23/May/2018,EVANSVLLE,
2666,GARDENCTY,Female,2639,2642,Birth/hatch,25/Mar/2016,COLUMBUS,
,,,,,Transfer,30/Aug/2017,GARDENCTY,
2671,GARDENCTY,Male,2449,2632,Birth/hatch,28/Sep/2016,EL PASO,
,,,,,Transfer,25/Oct/2017,GARDENCTY,
2634,LITTLEROC,Male,1131,2414,Birth/hatch,12/Aug/2010,ABQBIOPK,
,,,,,Transfer,24/Apr/2014,LITTLEROC,
2654,LITTLEROC,Female,2449,2632,Birth/hatch,22/Aug/2014,EL PASO,
,,,,,Transfer,23/Sep/2015,LITTLEROC,
2729,LITTLEROC,Male,2634,2654,Birth/hatch,18/Nov/2023,LITTLEROC,
2730,LITTLEROC,Male,2634,2654,Birth/hatch,18/Nov/2023,LITTLEROC,
2673,MEMPHIS,Male,2649,2638,Birth/hatch,16/Dec/2016,MOODY,
,,,,,Transfer,30/Jan/2018,PUEBLO,
,,,,,Transfer,04/Nov/2019,MEMPHIS,
2718,MEMPHIS,Female,2685,2679,Birth/hatch,28/Feb/2022,DULUTH,
,,,,,Transfer,15/Mar/2024,MEMPHIS,
2732,MEMPHIS,Male,2673,2683,Birth/hatch,13/Dec/2023,MEMPHIS,
2626,MILWAUKEE,Female,2402,2451,Birth/hatch,06/Dec/2010,GARDENCTY,
,,,,,Transfer,22/Apr/2014,CHICAGOBR,
,,,,,Transfer,02/Nov/2022,MILWAUKEE,
2631,MILWAUKEE,Male,1121,1145,Birth/hatch,22/Mar/2010,MOODY,
,,,,,Transfer,20/Feb/2014,CHICAGOBR,
,,,,,Transfer,02/Nov/2022,MILWAUKEE,
2649,MOODY,Male,2498,2502,Birth/hatch,20/Jun/2012,DUKE PRIM,
,,,,,Transfer,10/Sep/2015,MOODY,
2659,MOODY,Female,2450,2414,Birth/hatch,18/May/2015,CLEVELAND,
,,,,,Transfer,03/Jun/2016,COLUMBUS,
,,,,,Transfer,16/Nov/2023,MOODY,
2723,MOODY,Male,2649,2638,Birth/hatch,"~ from 24/Dec/2022 to
26/Dec/2022",MOODY,
2623,NY BRONX,Male,2498,2502,Birth/hatch,17/Sep/2010,DUKE PRIM,
,,,,,Transfer,01/Dec/2011,SANDIEGOZ,
,,,,,Transfer,14/May/2014,NY BRONX,
2640,NY BRONX,Female,2420,2608,Birth/hatch,09/Apr/2012,DUKE PRIM,
,,,,,Transfer,14/May/2014,NY BRONX,
2708,NZP-WASH,Female,2631,2626,Birth/hatch,26/Aug/2020,CHICAGOBR,
,,,,,Transfer,25/Aug/2022,NZP-WASH,
2715,NZP-WASH,Male,2634,2654,Birth/hatch,18/Jun/2021,LITTLEROC,
,,,,,Transfer,23/Aug/2022,NZP-WASH,
2735,NZP-WASH,Undeter mined,2715,2708,Birth/hatch,21/Mar/2024,NZP-WASH,
2736,NZP-WASH,"Undeter
mined",2715,2708,Birth/hatch,21/Mar/2024,NZP-WASH,
2652,OMAHA,Male,2408,2418,Birth/hatch,21/Aug/2013,AKRON,
,,,,,Transfer,08/Jun/2017,OMAHA,
2677,OMAHA,Female,2496,2502,Birth/hatch,18/Jan/2017,DUKE PRIM,
,,,,,Transfer,14/Sep/2017,OMAHA,
2617,PHILADELP,Female,1130,2436,Birth/hatch,05/Feb/2010,PHILADELP,
2676,PHILADELP,Male,2631,2626,Birth/hatch,03/Nov/2016,CHICAGOBR,
,,,,,Transfer,26/Oct/2017,PHILADELP,
2614,PUEBLO,Female,1131,2403,Birth/hatch,18/Jul/2009,ABQBIOPK,
,,,,,Transfer,18/Dec/2018,SANDIEGOZ,
,,,,,Transfer,05/Nov/2019,PUEBLO,
2653,PUEBLO,Male,2449,2632,Birth/hatch,22/Aug/2014,EL PASO,
,,,,,Transfer,21/Sep/2015,ABQBIOPK,
,,,,,Transfer,18/Dec/2018,SANDIEGOZ,
,,,,,Transfer,05/Nov/2019,PUEBLO,
2713,W ORANGE,Female,2623,2640,Birth/hatch,~ from 11/Mar/2021 to 12/Mar/2021,NY BRONX,
,,,,,Transfer,28/Mar/2024,W ORANGE,
2717,W ORANGE,Male,UND,UND,Birth/hatch,Undetermined,GREENWICH,
,,,,,Transfer,12/Jun/2021,VA SAFARI,
,,,,,Transfer,13/Jan/2022,W ORANGE,
,,,,,,,,
,,,,,,,,
