ID,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location,
9430,Male,"Jun 03, 2019",9079,9089,Birth/Hatch,"Jun 03, 2019",COLO SPRG,
,,,,,Transfer,"Oct 01, 2019",CARR,
9443,Male,"Jun 04, 2019",8661,9015,Birth/Hatch,"Jun 04, 2019",CARR,
,,,,,Transfer,"Oct 07, 2019",LOUISVILL,
,,,,,Transfer,"Oct 06, 2021",CARR,
9469,Male,"Jun 09, 2019",8352,8910,Birth/Hatch,"Jun 09, 2019",LOUISVILL,
,,,,,Transfer,"Oct 01, 2019",CARR,
9474,Female,"Jun 09, 2019",8352,8910,Birth/Hatch,"Jun 09, 2019",LOUISVILL,
,,,,,Transfer,"Oct 01, 2019",CARR,
9476,Male,"Jun 10, 2019",9128,8786,Birth/Hatch,"Jun 10, 2019",CARR,
9519,Male,"Jun 14, 2019",8909,8628,Birth/Hatch,"Jun 14, 2019",CARR,
9522,Male,"Jun 14, 2019",8362,8709,Birth/Hatch,"Jun 14, 2019",CARR,
9527,Male,"Jun 15, 2019",9236,8688,Birth/Hatch,"Jun 15, 2019",LOUISVILL,
,,,,,Transfer,"Oct 06, 2021",CARR,
9568,Male,"Jun 25, 2019",8041,9254,Birth/Hatch,"Jun 25, 2019",CARR,
9571,Male,"Jun 26, 2019",9011,8629,Birth/Hatch,"Jun 26, 2019",CARR,
9576,Male,"Jun 26, 2019",8965,8985,Birth/Hatch,"Jun 26, 2019",CARR,
9592,Male,"Jun 28, 2019",8799,9223,Birth/Hatch,"Jun 28, 2019",CARR,
9598,Male,"Jun 29, 2019",8969,8937,Birth/Hatch,"Jun 29, 2019",LOUISVILL,
,,,,,Transfer,"Oct 01, 2019",CARR,
9610,Female,"Jul 11, 2019",8819,9334,Birth/Hatch,"Jul 11, 2019",NZP-CRC,
,,,,,Transfer,"Oct 01, 2019",CARR,
9614,Male,"May 08, 2020",9036,9047,Birth/Hatch,"May 08, 2020",PHOENIX,
,,,,,Transfer,"Oct 16, 2020",CARR,
9615,Male,"May 08, 2020",9036,9047,Birth/Hatch,"May 08, 2020",PHOENIX,
,,,,,Transfer,"Oct 16, 2020",CARR,
9621,Female,"May 10, 2020",9143,9109,Birth/Hatch,"May 10, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9622,Female,"May 10, 2020",9143,9109,Birth/Hatch,"May 10, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9643,Male,"May 18, 2020",8890,9038,Birth/Hatch,"May 18, 2020",CARR,
9644,Female,"May 18, 2020",8890,9038,Birth/Hatch,"May 18, 2020",CARR,
9654,Male,"May 20, 2020",8620,9001,Birth/Hatch,"May 20, 2020",CARR,
9656,Female,"May 20, 2020",8620,9001,Birth/Hatch,"May 20, 2020",CARR,
9667,Female,"May 23, 2020",8215,9206,Birth/Hatch,"May 23, 2020",CARR,
9668,Female,"May 23, 2020",8215,9206,Birth/Hatch,"May 23, 2020",CARR,
9682,Female,"Jun 01, 2020",9215,9212,Birth/Hatch,"Jun 01, 2020",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
9683,Male,"Jun 01, 2020",9049,9351,Birth/Hatch,"Jun 01, 2020",TORONTO,
,,,,,Transfer,"Nov 29, 2021",CARR,
9686,Female,"Jun 01, 2020",9049,9351,Birth/Hatch,"Jun 01, 2020",TORONTO,
,,,,,Transfer,"Nov 29, 2021",CARR,
9691,Female,"Jun 02, 2020",8890,9436,Birth/Hatch,"Jun 02, 2020",CARR,
9693,Male,"Jun 03, 2020",8338,8674,Birth/Hatch,"Jun 03, 2020",CARR,
9703,Male,"Jun 06, 2020",8748,9610,Birth/Hatch,"Jun 06, 2020",CARR,
9705,Male,"Jun 06, 2020",8748,9610,Birth/Hatch,"Jun 06, 2020",CARR,
9706,Female,"Jun 06, 2020",8748,9610,Birth/Hatch,"Jun 06, 2020",CARR,
9714,Female,"Jun 07, 2020",9011,9134,Birth/Hatch,"Jun 07, 2020",CARR,
9727,Female,"Jun 08, 2020",9186,9396,Birth/Hatch,"Jun 08, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9728,Female,"Jun 08, 2020",9186,9396,Birth/Hatch,"Jun 08, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9746,Female,"Jun 13, 2020",8745,9000,Birth/Hatch,"Jun 13, 2020",CARR,
9747,Female,"Jun 13, 2020",8745,9000,Birth/Hatch,"Jun 13, 2020",CARR,
9756,Female,"Jun 16, 2020",8819,9375,Birth/Hatch,"Jun 16, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9757,Female,"Jun 16, 2020",8819,9375,Birth/Hatch,"Jun 16, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
9779,Female,"Jun 17, 2020",9011,9493,Birth/Hatch,"Jun 17, 2020",CARR,
9780,Female,"Jun 17, 2020",9011,9493,Birth/Hatch,"Jun 17, 2020",CARR,
9781,Female,"Jun 17, 2020",9011,9493,Birth/Hatch,"Jun 17, 2020",CARR,
9784,Male,"Jun 19, 2020",8362,9410,Birth/Hatch,"Jun 19, 2020",CARR,
9787,Female,"Jun 19, 2020",8362,9410,Birth/Hatch,"Jun 19, 2020",CARR,
9788,Female,"Jun 19, 2020",8362,9410,Birth/Hatch,"Jun 19, 2020",CARR,
9791,Female,"Jun 21, 2020",9291,9114,Birth/Hatch,"Jun 21, 2020",CARR,
9796,Female,"Jun 24, 2020",8620,8867,Birth/Hatch,"Jun 24, 2020",CARR,
9804,Female,"Jul 01, 2020",8976,9516,Birth/Hatch,"Jul 01, 2020",CARR,
9806,Female,"Jul 01, 2020",8976,9516,Birth/Hatch,"Jul 01, 2020",CARR,
9813,Female,"Jul 06, 2020",9318,9326,Birth/Hatch,"Jul 06, 2020",CARR,
9814,Male,"Jun 22, 2020",8745,9474,Birth/Hatch,"Jun 22, 2020",CARR,
9815,Female,"Jun 22, 2020",8745,9474,Birth/Hatch,"Jun 22, 2020",CARR,
9835,Male,"May 11, 2021",9128,9288,Birth/Hatch,"May 11, 2021",CARR,
9836,Male,"May 11, 2021",9128,9288,Birth/Hatch,"May 11, 2021",CARR,
9837,Male,"May 12, 2021",9036,9047,Birth/Hatch,"May 12, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9838,Male,"May 12, 2021",9036,9047,Birth/Hatch,"May 12, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9839,Male,"May 12, 2021",9036,9047,Birth/Hatch,"May 12, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9844,Male,"May 18, 2021",9337,9436,Birth/Hatch,"May 18, 2021",CARR,
9845,Female,"May 18, 2021",9337,9436,Birth/Hatch,"May 18, 2021",CARR,
9855,Female,"May 18, 2021",9679,9572,Birth/Hatch,"May 18, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
9856,Female,"May 18, 2021",9679,9572,Birth/Hatch,"May 18, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
9857,Male,"May 19, 2021",9726,9109,Birth/Hatch,"May 19, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
9858,Male,"May 19, 2021",9726,9109,Birth/Hatch,"May 19, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
9868,Male,"May 20, 2021",9466,9231,Birth/Hatch,"May 20, 2021",PHOENIX,
,,,,,Return from LTF,"Aug 09, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9869,Female,"May 20, 2021",9466,9231,Birth/Hatch,"May 20, 2021",PHOENIX,
,,,,,Return from LTF,"Aug 09, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9870,Female,"May 20, 2021",9466,9231,Birth/Hatch,"May 20, 2021",PHOENIX,
,,,,,Return from LTF,"Aug 09, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9874,Female,"May 20, 2021",8965,9593,Birth/Hatch,"May 20, 2021",CARR,
9884,Female,"May 24, 2021",8934,9208,Birth/Hatch,"May 24, 2021",CARR,
9890,Female,"May 25, 2021",8620,9621,Birth/Hatch,"May 25, 2021",CARR,
9898,Female,"May 27, 2021",9569,9404,Birth/Hatch,"May 27, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9913,Female,"May 29, 2021",9380,9610,Birth/Hatch,"May 29, 2021",CARR,
9917,Female,"May 30, 2021",9337,9192,Birth/Hatch,"May 30, 2021",CARR,
9923,Female,"May 30, 2021",9598,9575,Birth/Hatch,"May 30, 2021",CARR,
9932,Female,"May 30, 2021",9519,9806,Birth/Hatch,"May 30, 2021",CARR,
9935,Male,"May 31, 2021",9568,9134,Birth/Hatch,"May 31, 2021",CARR,
9936,Male,"May 31, 2021",9568,9134,Birth/Hatch,"May 31, 2021",CARR,
9937,Male,"May 31, 2021",9568,9134,Birth/Hatch,"May 31, 2021",CARR,
9951,Female,"Jun 01, 2021",9476,9326,Birth/Hatch,"Jun 01, 2021",CARR,
9975,Male,"Jun 02, 2021",9194,9539,Birth/Hatch,"Jun 02, 2021",CARR,
9976,Male,"Jun 02, 2021",9194,9539,Birth/Hatch,"Jun 02, 2021",CARR,
9977,Male,"Jun 02, 2021",9051,9796,Birth/Hatch,"Jun 02, 2021",CARR,
9978,Female,"Jun 02, 2021",9051,9796,Birth/Hatch,"Jun 02, 2021",CARR,
10001,Female,"Jun 05, 2021",9726,9653,Birth/Hatch,"Jun 05, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
10007,Female,"Jun 06, 2021",8796,9645,Birth/Hatch,"Jun 06, 2021",CARR,
10012,Female,"Jun 07, 2021",9143,9682,Birth/Hatch,"Jun 07, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",CARR,
10013,Female,"Jun 07, 2021",9592,9789,Birth/Hatch,"Jun 07, 2021",CARR,
10018,Female,"Jun 07, 2021",9802,9757,Birth/Hatch,"Jun 07, 2021",CARR,
10022,Female,"Jun 08, 2021",8965,9246,Birth/Hatch,"Jun 08, 2021",CARR,
10047,Female,"Jun 09, 2021",9518,9675,Birth/Hatch,"Jun 09, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
10080,Female,"Jun 11, 2021",9476,9791,Birth/Hatch,"Jun 11, 2021",CARR,
10105,Female,"Jun 15, 2021",9703,9254,Birth/Hatch,"Jun 15, 2021",CARR,
10106,Female,"Jun 15, 2021",9703,9254,Birth/Hatch,"Jun 15, 2021",CARR,
10132,Female,"Jun 16, 2021",9665,9714,Birth/Hatch,"Jun 16, 2021",CARR,
10149,Male,"Jun 20, 2021",9051,9706,Birth/Hatch,"Jun 20, 2021",CARR,
10150,Male,"Jun 20, 2021",9051,9706,Birth/Hatch,"Jun 20, 2021",CARR,
10154,Female,"Jun 25, 2021",9096,9644,Birth/Hatch,"Jun 25, 2021",CARR,
10155,Female,"Jun 25, 2021",9096,9644,Birth/Hatch,"Jun 25, 2021",CARR,
10169,Female,"Jul 12, 2021",9589,9673,Birth/Hatch,"Jul 12, 2021",COLO SPRG,
,,,,,Transfer,"Oct 07, 2021",CARR,
10210,Female,"May 16, 2022",9425,9806,Birth/Hatch,"May 16, 2022",CARR,
10211,Female,"May 16, 2022",9425,9806,Birth/Hatch,"May 16, 2022",CARR,
10212,Female,"May 16, 2022",9425,9806,Birth/Hatch,"May 16, 2022",CARR,
10229,Male,"May 22, 2022",9868,9610,Birth/Hatch,"May 22, 2022",CARR,
10239,Male,"May 24, 2022",9643,9520,Birth/Hatch,"May 24, 2022",CARR,
10240,Male,"May 24, 2022",9643,9520,Birth/Hatch,"May 24, 2022",CARR,
10248,Male,"May 24, 2022",9615,9804,Birth/Hatch,"May 24, 2022",CARR,
10272,Female,"May 26, 2022",9568,9757,Birth/Hatch,"May 26, 2022",CARR,
10273,Female,"May 26, 2022",9568,9757,Birth/Hatch,"May 26, 2022",CARR,
10275,Female,"May 27, 2022",9576,9516,Birth/Hatch,"May 27, 2022",CARR,
10296,Female,"May 31, 2022",9194,9890,Birth/Hatch,"May 31, 2022",CARR,
10297,Female,"May 31, 2022",9194,9890,Birth/Hatch,"May 31, 2022",CARR,
10309,Male,"Jun 01, 2022",9443,9467,Birth/Hatch,"Jun 01, 2022",CARR,
10310,Male,"Jun 01, 2022",9443,9467,Birth/Hatch,"Jun 01, 2022",CARR,
10311,Female,"Jun 01, 2022",9443,9467,Birth/Hatch,"Jun 01, 2022",CARR,
10312,Female,"Jun 01, 2022",9443,9467,Birth/Hatch,"Jun 01, 2022",CARR,
10321,Male,"Jun 01, 2022",9291,9714,Birth/Hatch,"Jun 01, 2022",CARR,
10323,Female,"Jun 01, 2022",9291,9714,Birth/Hatch,"Jun 01, 2022",CARR,
10336,Male,"Jun 04, 2022",9592,9978,Birth/Hatch,"Jun 04, 2022",CARR,
10337,Male,"Jun 04, 2022",9592,9978,Birth/Hatch,"Jun 04, 2022",CARR,
10347,Male,"Jun 07, 2022",9643,9537,Birth/Hatch,"Jun 07, 2022",CARR,
10348,Male,"Jun 07, 2022",9643,9537,Birth/Hatch,"Jun 07, 2022",CARR,
10349,Female,"Jun 07, 2022",9643,9537,Birth/Hatch,"Jun 07, 2022",CARR,
10350,Female,"Jun 07, 2022",9643,9537,Birth/Hatch,"Jun 07, 2022",CARR,
10357,Female,"Jun 07, 2022",9654,9923,Birth/Hatch,"Jun 07, 2022",CARR,
10358,Female,"Jun 07, 2022",9654,9923,Birth/Hatch,"Jun 07, 2022",CARR,
10371,Female,"Jun 08, 2022",9683,9644,Birth/Hatch,"Jun 08, 2022",CARR,
10372,Male,"Jun 08, 2022",9011,9917,Birth/Hatch,"Jun 08, 2022",CARR,
10373,Female,"Jun 08, 2022",9011,9917,Birth/Hatch,"Jun 08, 2022",CARR,
10374,Female,"Jun 08, 2022",9011,9917,Birth/Hatch,"Jun 08, 2022",CARR,
10384,Male,"Jun 10, 2022",9519,9691,Birth/Hatch,"Jun 10, 2022",CARR,
10390,Female,"Jun 12, 2022",9837,9746,Birth/Hatch,"Jun 12, 2022",CARR,
10391,Female,"Jun 12, 2022",9837,9746,Birth/Hatch,"Jun 12, 2022",CARR,
10398,Male,"Jun 13, 2022",9425,9593,Birth/Hatch,"Jun 13, 2022",CARR,
10399,Female,"Jun 13, 2022",9425,9593,Birth/Hatch,"Jun 13, 2022",CARR,
10400,Male,"Jun 13, 2022",9571,9727,Birth/Hatch,"Jun 13, 2022",CARR,
10401,Male,"Jun 13, 2022",9571,9727,Birth/Hatch,"Jun 13, 2022",CARR,
10402,Female,"Jun 13, 2022",9571,9727,Birth/Hatch,"Jun 13, 2022",CARR,
10419,Female,"Jun 14, 2022",9598,10018,Birth/Hatch,"Jun 14, 2022",CARR,
10427,Female,"Jun 16, 2022",9469,8932,Birth/Hatch,"Jun 16, 2022",CARR,
10437,Male,"Jun 18, 2022",9592,9869,Birth/Hatch,"Jun 18, 2022",CARR,
10439,Female,"Jun 18, 2022",9592,9869,Birth/Hatch,"Jun 18, 2022",CARR,
10461,Male,"Jun 21, 2022",9654,10013,Birth/Hatch,"Jun 21, 2022",CARR,
10462,Male,"Jun 21, 2022",9654,10013,Birth/Hatch,"Jun 21, 2022",CARR,
10463,Female,"Jun 21, 2022",9654,10013,Birth/Hatch,"Jun 21, 2022",CARR,
9222,Male,"Jun 04, 2018",8069,8887,Birth/Hatch,"Jun 04, 2018",CARR,
,,,,,Transfer,"Oct 01, 2018",COLO SPRG,
9339,Female,"Mar 23, 2019",8342,8581,Birth/Hatch,"Mar 23, 2019",NZP-CRC,
,,,,,Transfer,"Oct 01, 2019",COLO SPRG,
9422,Male,"Jun 03, 2019",8464,8993,Birth/Hatch,"Jun 03, 2019",LOUISVILL,
,,,,,Transfer,"Oct 09, 2019",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
9432,Female,"Jun 03, 2019",9079,9089,Birth/Hatch,"Jun 03, 2019",CARR,
,,,,,Transfer,"Oct 01, 2019",COLO SPRG,
9589,Male,"Jun 28, 2019",8748,8891,Birth/Hatch,"Jun 28, 2019",CARR,
,,,,,Transfer,"Oct 01, 2019",COLO SPRG,
9655,Female,"May 20, 2020",8620,9001,Birth/Hatch,"May 20, 2020",CARR,
,,,,,Transfer,"Oct 14, 2020",COLO SPRG,
9673,Female,"May 26, 2020",9195,8985,Birth/Hatch,"May 26, 2020",CARR,
,,,,,Transfer,"Oct 14, 2020",COLO SPRG,
9699,Female,"Jun 04, 2020",8931,9122,Birth/Hatch,"Jun 04, 2020",COLO SPRG,
9751,Male,"Jun 14, 2020",8908,9255,Birth/Hatch,"Jun 14, 2020",CARR,
,,,,,Transfer,"Oct 14, 2020",COLO SPRG,
9802,Male,"Jul 01, 2020",8976,9516,Birth/Hatch,"Jul 01, 2020",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
9803,Male,"Jul 01, 2020",8976,9516,Birth/Hatch,"Jul 01, 2020",CARR,
,,,,,Transfer,"Oct 14, 2020",COLO SPRG,
9905,Male,"May 29, 2021",9589,9339,Birth/Hatch,"May 29, 2021",COLO SPRG,
9912,Female,"May 29, 2021",9380,9610,Birth/Hatch,"May 29, 2021",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
9916,Male,"May 30, 2021",9337,9192,Birth/Hatch,"May 30, 2021",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
9922,Female,"May 30, 2021",9598,9575,Birth/Hatch,"May 30, 2021",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
9979,Female,"Jun 02, 2021",9051,9796,Birth/Hatch,"Jun 02, 2021",CARR,
,,,,,Transfer,"Oct 07, 2021",COLO SPRG,
10099,Male,"Jun 13, 2021",9762,9375,Birth/Hatch,"Jun 13, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",COLO SPRG,
10142,Female,"Jun 18, 2021",9222,9432,Birth/Hatch,"Jun 18, 2021",COLO SPRG,
10143,Female,"Jun 18, 2021",9222,9432,Birth/Hatch,"Jun 18, 2021",COLO SPRG,
9200,Male,"Jun 01, 2018",8161,8831,Birth/Hatch,"Jun 01, 2018",CARR,
,,,,,Transfer,"Oct 01, 2019",LOUISVILL,
9236,Male,"Jun 06, 2018",8044,8510,Birth/Hatch,"Jun 06, 2018",CARR,
,,,,,Transfer,"Oct 01, 2018",LOUISVILL,
9341,Male,"Mar 27, 2019",8934,8486,Birth/Hatch,"Mar 27, 2019",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
9409,Female,"Jun 02, 2019",8325,8699,Birth/Hatch,"Jun 02, 2019",CARR,
,,,,,Transfer,"Oct 01, 2019",LOUISVILL,
9468,Male,"Jun 09, 2019",8352,8910,Birth/Hatch,"Jun 09, 2019",LOUISVILL,
9652,Male,"May 19, 2020",9215,9058,Birth/Hatch,"May 19, 2020",NZP-CRC,
,,,,,Transfer,"Oct 05, 2020",LOUISVILL,
9661,Female,"May 20, 2020",9050,9132,Birth/Hatch,"May 20, 2020",LOUISVILL,
9662,Female,"May 20, 2020",9050,9132,Birth/Hatch,"May 20, 2020",LOUISVILL,
9663,Female,"May 20, 2020",9050,9132,Birth/Hatch,"May 20, 2020",LOUISVILL,
9680,Male,"Jun 01, 2020",9215,9212,Birth/Hatch,"Jun 01, 2020",NZP-CRC,
,,,,,Transfer,"Oct 05, 2020",LOUISVILL,
9729,Female,"Jun 08, 2020",9186,9396,Birth/Hatch,"Jun 08, 2020",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
9811,Male,"Jul 04, 2020",8819,9572,Birth/Hatch,"Jul 04, 2020",NZP-CRC,
,,,,,Transfer,"Oct 05, 2020",LOUISVILL,
9859,Female,"May 19, 2021",9726,9109,Birth/Hatch,"May 19, 2021",NZP-CRC,
,,,,,Return from LTF,"Aug 09, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
9872,Male,"May 20, 2021",8965,9593,Birth/Hatch,"May 20, 2021",CARR,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
9911,Female,"May 29, 2021",9380,9610,Birth/Hatch,"May 29, 2021",CARR,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
9964,Female,"Jun 01, 2021",9128,9407,Birth/Hatch,"Jun 01, 2021",CARR,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
10014,Female,"Jun 07, 2021",9592,9789,Birth/Hatch,"Jun 07, 2021",CARR,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
10070,Male,"Jun 11, 2021",9341,9637,Birth/Hatch,"Jun 11, 2021",NZP-CRC,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
10079,Female,"Jun 11, 2021",9476,9791,Birth/Hatch,"Jun 11, 2021",CARR,
,,,,,Transfer,"Oct 05, 2021",LOUISVILL,
10138,Male,"Jun 17, 2021",9589,9655,Birth/Hatch,"Jun 17, 2021",COLO SPRG,
,,,,,Transfer,"Sep 21, 2021",LOUISVILL,
10140,Male,"Jun 18, 2021",9222,9432,Birth/Hatch,"Jun 18, 2021",COLO SPRG,
,,,,,Transfer,"Sep 21, 2021",LOUISVILL,
10226,Female,"May 20, 2022",9341,9661,Birth/Hatch,"May 20, 2022",LOUISVILL,
10303,Female,"May 31, 2022",9341,9964,Birth/Hatch,"May 31, 2022",LOUISVILL,
10304,Female,"May 31, 2022",9341,9964,Birth/Hatch,"May 31, 2022",LOUISVILL,
10359,Male,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10360,Male,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10361,Female,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10362,Female,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10363,Female,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10364,Female,"Jun 08, 2022",9276,9543,Birth/Hatch,"Jun 08, 2022",LOUISVILL,
10456,Female,"Jun 21, 2022",9276,9427,Birth/Hatch,"Jun 21, 2022",LOUISVILL,
10457,Female,"Jun 21, 2022",9276,9427,Birth/Hatch,"Jun 21, 2022",LOUISVILL,
10458,Female,"Jun 21, 2022",9276,9427,Birth/Hatch,"Jun 21, 2022",LOUISVILL,
10459,Female,"Jun 21, 2022",9276,9427,Birth/Hatch,"Jun 21, 2022",LOUISVILL,
9186,Male,"May 29, 2018",7916,8391,Birth/Hatch,"May 29, 2018",CARR,
,,,,,Transfer,"Oct 01, 2018",PHOENIX,
,,,,,Transfer,"Oct 01, 2019",NZP-CRC,
9350,Male,"May 01, 2019",8745,8582,Birth/Hatch,"May 01, 2019",CARR,
,,,,,Transfer,"Oct 07, 2019",LOUISVILL,
,,,,,Transfer,"Oct 06, 2021",NZP-CRC,
9408,Male,"Jun 02, 2019",8325,8699,Birth/Hatch,"Jun 02, 2019",CARR,
,,,,,Transfer,"Oct 01, 2019",NZP-CRC,
9431,Male,"Jun 03, 2019",9079,9089,Birth/Hatch,"Jun 03, 2019",COLO SPRG,
,,,,,Transfer,"Oct 01, 2019",NZP-CRC,
9637,Female,"May 14, 2020",9162,9332,Birth/Hatch,"May 14, 2020",NZP-CRC,
9653,Female,"May 19, 2020",9215,9058,Birth/Hatch,"May 19, 2020",NZP-CRC,
9681,Female,"Jun 01, 2020",9215,9212,Birth/Hatch,"Jun 01, 2020",NZP-CRC,
9695,Female,"Jun 03, 2020",9276,9113,Birth/Hatch,"Jun 03, 2020",LOUISVILL,
,,,,,Transfer,"Oct 06, 2020",NZP-CRC,
9704,Male,"Jun 06, 2020",8748,9610,Birth/Hatch,"Jun 06, 2020",CARR,
,,,,,Transfer,"Oct 05, 2020",NZP-CRC,
9726,Male,"Jun 08, 2020",9186,9396,Birth/Hatch,"Jun 08, 2020",NZP-CRC,
9755,Male,"Jun 16, 2020",8819,9375,Birth/Hatch,"Jun 16, 2020",NZP-CRC,
9768,Female,"Jun 17, 2020",9341,9263,Birth/Hatch,"Jun 17, 2020",NZP-CRC,
,,,,,Transfer,"Oct 06, 2020",CARR,
,,,,,Transfer,"Oct 06, 2021",NZP-CRC,
9769,Female,"Jun 17, 2020",9341,9263,Birth/Hatch,"Jun 17, 2020",NZP-CRC,
9785,Male,"Jun 19, 2020",8362,9410,Birth/Hatch,"Jun 19, 2020",CARR,
,,,,,Transfer,"Oct 05, 2020",NZP-CRC,
9810,Male,"Jul 04, 2020",8819,9572,Birth/Hatch,"Jul 04, 2020",NZP-CRC,
9930,Female,"May 30, 2021",8935,9662,Birth/Hatch,"May 30, 2021",LOUISVILL,
,,,,,Transfer,"Oct 06, 2021",NZP-CRC,
9973,Male,"Jun 02, 2021",9194,9539,Birth/Hatch,"Jun 02, 2021",CARR,
,,,,,Transfer,"Oct 06, 2021",NZP-CRC,
9974,Male,"Jun 02, 2021",9194,9539,Birth/Hatch,"Jun 02, 2021",CARR,
,,,,,Return from LTF,"Aug 09, 2021",CARR,
,,,,,Transfer,"Oct 06, 2021",NZP-CRC,
9990,Male,"Jun 03, 2021",9469,9406,Birth/Hatch,"Jun 03, 2021",CARR,
