ID,Sex,Birth_Date,Sire,Dam,Event_Type,Date,Location,
9130,Female,"May 15, 2018",8801,8610,Birth/Hatch,"May 15, 2018",CARR,
,,,,,Transfer,"Dec 06, 2019",TORONTO,
,,,,,Transfer,"Nov 29, 2021",CARR,
9133,Female,"May 15, 2018",8801,8610,Birth/Hatch,"May 15, 2018",CARR,
,,,,,Transfer,"Oct 04, 2018",PHOENIX,
,,,,,GO LTF,"Aug 06, 2021",PHOENIX,
,,,,,Return from LTF,"Aug 07, 2021",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9193,Female,"May 29, 2018",8748,8746,Birth/Hatch,"May 29, 2018",CARR,
,,,,,Transfer,"Dec 06, 2019",TORONTO,
,,,,,Transfer,"Nov 29, 2021",CARR,
9195,Male,"May 30, 2018",8661,8426,Birth/Hatch,"May 30, 2018",CARR,
9214,Male,"Jun 03, 2018",8229,8709,Birth/Hatch,"Jun 03, 2018",CARR,
,,,,,Transfer,"Sep 27, 2019",PHOENIX,
,,,,,Transfer,"Oct 12, 2021",CARR,
9261,Male,"Jun 10, 2018",8797,8432,Birth/Hatch,"Jun 10, 2018",CARR,
,,,,,Transfer,"Oct 17, 2018",COLO SPRG,
,,,,,Transfer,"Oct 07, 2021",CARR,
9324,Male,"Jul 08, 2018",8352,8688,Birth/Hatch,"Jul 08, 2018",LOUISVILL,
,,,,,Transfer,"Oct 06, 2021",CARR,
9326,Female,"Jul 08, 2018",8352,8688,Birth/Hatch,"Jul 08, 2018",LOUISVILL,
,,,,,Transfer,"Oct 01, 2018",CARR,
9337,Male,"Mar 23, 2019",8342,8581,Birth/Hatch,"Mar 23, 2019",NZP-CRC,
,,,,,Transfer,"Oct 01, 2019",CARR,
9371,Male,"May 09, 2019",8801,8964,Birth/Hatch,"May 09, 2019",CARR,
9373,Male,"May 09, 2019",8801,8964,Birth/Hatch,"May 09, 2019",CARR,
9380,Male,"May 13, 2019",8743,8686,Birth/Hatch,"May 13, 2019",CARR,
9388,Male,"May 25, 2019",8044,9098,Birth/Hatch,"May 25, 2019",CARR,
9406,Female,"Jun 01, 2019",8796,8594,Birth/Hatch,"Jun 01, 2019",CARR,
9425,Male,"Jun 03, 2019",8464,8993,Birth/Hatch,"Jun 03, 2019",LOUISVILL,
,,,,,Transfer,"Oct 01, 2019",CARR,
