ID,Current_Location,Current Local ID,Sex,Sire,Dam,Age,Event_Type,Date,Location,Local ID
1049,EVANSVLLE,119023,Male,1016,975,"10Y,0M,8D",Birth/Hatch,21-Apr-12,SYRACUSE,M12009
,,,,,,,Transfer,4-Oct-19,EVANSVLLE,119023
2953,FRANKLINP,A21027,Female,UND,UND,"4Y,9M,27D",Birth/Hatch,"~ from Jan 01, 2017 to Dec
31, 2017",Undetermined,-
,,,,,,,GO LTF,"~ from Jan 01, 2017 to Dec
31, 2017",Undetermined,-
,,,,,,,"Return from
LTF",16-Dec-21,WILDCARE,21-2217
,,,,,,,Transfer,16-Dec-21,FRANKLINP,A21027
1058,FRESNO,203124,Male,897,2871,"9Y,10M,17D",Birth/Hatch,12-Jun-12,PALM DES,412012
,,,,,,,Transfer,30-Dec-12,FRESNO,203124
2947,HATTIESBG,579,Male,UND,UND,"5Y,1M,5D",Birth/Hatch,"Mar 24, 2017 +/- 6 month",PRIVATE,UNK
,,,,,,,Transfer,19-Sep-19,HATTIESBG,579
,,,,,,,,,,
1149,HATTIESBG,645,Male,UND,UND,"3Y,9M,27D",Birth/Hatch,"~ from Jan 01, 2018 to Dec
31, 2018",PRIVATE,Undetermined
,,,,,,,GO LTF,"~ from Jan 01, 2018 to Dec
31, 2018",PRIVATE,Undetermined
,,,,,,,"Return from
LTF",22-Dec-21,PRIVATE,Undetermined
,,,,,,,Transfer,22-Dec-21,HATTIESBG,645
1150,HATTIESBG,646,Female,UND,UND,"3Y,9M,27D",Birth/Hatch,"~ from Jan 01, 2018 to Dec 31, 2018",PRIVATE,Undetermined
,,,,,,,GO LTF,"~ from Jan 01, 2019 to Dec
31, 2018",PRIVATE,Undetermined
,,,,,,,"Return from
LTF",22-Dec-21,PRIVATE,Undetermined
,,,,,,,Transfer,22-Dec-21,HATTIESBG,646
970,HONOLULU,210055,Female,957,958,"11Y,11M,6D",Birth/Hatch,23-May-10,HONOLULU,210055
2006,KANSASCTY,M22003,Male,972,946,"8Y,11M,1D",Birth/Hatch,28-May-13,PITTSBURG,102789
,,,,,,,Transfer,"Oct 22, 2013 +/- 1 year",LINCOLN C,1683
,,,,,,,Transfer,23-Feb-22,KANSASCTY,M22003
1070,KANSASCTY,M17059,Male,979,980,"9Y,6M,16D",Birth/Hatch,13-Oct-12,MILWAUKEE,5787
,,,,,,,Transfer,30-Oct-13,NY BRONX,E13041
,,,,,,,Transfer,21-Dec-17,KANSASCTY,M17059
2935,KANSASCTY,M22004,Female,2918,1068,"4Y,1M,22D",Birth/Hatch,7-Mar-18,ATTLEBORO,118417
,,,,,,,Transfer,16-Nov-18,NEW BEDFO,2169
,,,,,,,Transfer,16-Sep-19,TAUTPHAUS,19M013
,,,,,,,Transfer,21-Apr-22,KANSASCTY,M22004
2007,LINCOLN C,1684,Male,972,946,"8Y,11M,1D",Birth/Hatch,28-May-13,PITTSBURG,102790
,,,,,,,Transfer,"Oct 22, 2013 +/- 1 year",LINCOLN C,1684
,,,,,,,,,,
2005,LINCOLN C,1956,Female,897,2871,"8Y,11M,4D",Birth/Hatch,25-May-13,PALM DES,413018
,,,,,,,Transfer,19-Feb-14,KANSASCTY,M14005
,,,,,,,Transfer,23-Feb-22,LINCOLN C,1956
1063,LOSANGELE,994657,Male,1029,1043,"9Y,11M,9D",Birth/Hatch,20-May-12,SAFARI W,112036
,,,,,,,Transfer,21-May-12,PRIVATE,UNK
,,,,,,,Transfer,5-Aug-12,SAFARI W,112036
,,,,,,,Transfer,6-Aug-12,SEAWLD TX,SWT VZ-5001
,,,,,,,Transfer,23-Jan-18,LOSANGELE,994657
1133,LVZOO,LVO261,Male,UND,UND,"9Y,0M,28D",Birth/Hatch,"Apr 01, 2013 +/- 15 day",YATES,UNK
,,,,,,,Transfer,1-Jun-13,LVZOO,LVO261
2945,MILWAUKEE,6164,Male,1113,1139,"2Y,3M,21D",Birth/Hatch,8-Jan-20,COAL VAL,M2421
,,,,,,,Transfer,12-Jun-21,MILWAUKEE,6164
2943,MILWAUKEE,6163,Male,1113,1139,"2Y,3M,21D",Birth/Hatch,8-Jan-20,COAL VAL,M2419
,,,,,,,Transfer,12-Jun-21,MILWAUKEE,6163
2948,NEW BEDFO,2381,Male,1113,1139,"1Y,2M,25D",Birth/Hatch,4-Feb-21,COAL VAL,M2471
,,,,,,,Transfer,25-Jul-21,NEW BEDFO,2381
1057,NEW BEDFO,2340,Male,897,2871,"9Y,10M,17D",Birth/Hatch,12-Jun-12,PALM DES,412011
,,,,,,,Transfer,"Jul 15, 2013 +/- 1 year",EXOTIC EN,UNK
,,,,,,,Transfer,9-Nov-15,S BARBARA,700902
,,,,,,,Transfer,17-Nov-15,SOUTHBEND,34130
,,,,,,,Transfer,29-Jan-19,ST LOUIS,124247
,,,,,,,Transfer,2-Dec-20,NEW BEDFO,2340
2934,NEW BEDFO,2168,Female,2918,1068,"4Y,1M,22D",Birth/Hatch,7-Mar-18,ATTLEBORO,118416
,,,,,,,Transfer,16-Nov-18,NEW BEDFO,2168
1015,NEW BEDFO,1950,Male,981,982,"11Y,0M,21D",Birth/Hatch,8-Apr-11,DISNEY AK,110191
,,,,,,,Transfer,20-Dec-16,NEW BEDFO,1950
2932,NEW BEDFO,2393,Male,2918,1068,"4Y,8M,8D",Birth/Hatch,21-Aug-17,ATTLEBORO,117410
,,,,,,,Transfer,15-May-18,FRANKLINP,A18032
,,,,,,,Transfer,31-Jan-22,NEW BEDFO,2393
,,,,,,,,,,
2937,NEW BEDFO,2339,Female,WILD,WILD,"5Y,1M,20D",Birth/Hatch,"Mar 09, 2017 +/- 9 month",Undetermined,-
,,,,,,,"Wild
Capture","Mar 09, 2018 +/- 8 month",Undetermined,-
,,,,,,,Transfer,9-Mar-18,USFWS,NONE
,,,,,,,Transfer,9-Mar-18,LOSANGELE,994686
,,,,,,,Transfer,8-Jan-19,ST LOUIS,124220
,,,,,,,Transfer,2-Dec-20,NEW BEDFO,2339
984,NY BRONX,E12031,Female,949,951,"11Y,11M,5D",Birth/Hatch,24-May-10,LOSANGELE,992133
,,,,,,,Transfer,24-Jan-11,PALM DES,411002
,,,,,,,Transfer,12-Oct-12,NY BRONX,E12031
985,NY BRONX,E15035,Female,949,951,"11Y,11M,5D",Birth/Hatch,24-May-10,LOSANGELE,992134
,,,,,,,Transfer,16-Feb-11,ST LOUIS,108504
,,,,,,,Transfer,29-Sep-15,NY BRONX,E15035
1117,NY BRONX,E14023,Female,1017,2869,"7Y,11M,27D",Birth/Hatch,2-May-14,NY BRONX,E14023
2003,NY BRONX,M1413,Male,897,2871,"8Y,11M,4D",Birth/Hatch,25-May-13,PALM DES,413016
,,,,,,,Transfer,28-Aug-14,NY BRONX,M14131
,,,,,,,Transfer,4-Feb-16,PROSPECTP,M14131
,,,,,,,Transfer,8-Dec-20,NY BRONX,M1413
